subject,fold,num_groups,stratify_label
00231,0,1,1|d0
00236,0,1,1|d0
00241,0,1,1|d0
00252,0,1,1|d0
00253,0,1,0|d0
00257,0,1,1|d0
00258,0,1,1|d0
00259,0,1,1|d0
00262,0,1,0|d0
00263,0,1,0|d0
00265,0,1,0|d0
00268,0,1,0|d0
00269,0,1,0|d0
00274,0,1,0|d0
00276,0,1,2|d0
00279,0,1,2|d0
00295,0,1,2|d0
00313,0,1,0|d0
00317,0,1,0|d0
00318,0,1,0|d0
00319,0,1,0|d0
00332,0,1,2|d0
00333,0,1,2|d0
00335,0,1,2|d0
00336,0,1,2|d0
00339,0,1,2|d0
00340,0,1,2|d0
00345,0,1,2|d0
00357,0,1,1|d0
00361,0,1,1|d0
00371,0,1,0|d0
00374,0,1,2|d0
00378,0,1,1|d0
00381,0,1,1|d0
00389,0,1,2|d0
00390,0,1,2|d0
00400,0,1,1|d0
00401,0,1,1|d0
00407,0,1,0|d0
00409,0,1,2|d0
00416,0,1,1|d0
00515,0,1,2|d0
00524,0,1,2|d0
00528,0,1,0|d0
00539,0,1,2|d0
00550,0,1,1|d0
581892,0,3,2|d1
740525,0,1,1|d1
844697,0,1,1|d1
845372,0,1,0|d1
847397,0,2,0|d1
850496,0,2,1|d1
851532,0,1,1|d1
861404,0,2,1|d1
00230,1,1,1|d0
00238,1,1,1|d0
00242,1,1,1|d0
00243,1,1,1|d0
00245,1,1,1|d0
00246,1,1,1|d0
00254,1,1,0|d0
00264,1,1,0|d0
00270,1,1,0|d0
00272,1,1,0|d0
00273,1,1,0|d0
00282,1,1,2|d0
00283,1,1,2|d0
00286,1,1,2|d0
00287,1,1,2|d0
00290,1,1,2|d0
00293,1,1,2|d0
00298,1,1,2|d0
00304,1,1,0|d0
00316,1,1,0|d0
00322,1,1,0|d0
00334,1,1,2|d0
00342,1,1,2|d0
00344,1,1,2|d0
00349,1,1,1|d0
00354,1,1,1|d0
00358,1,1,0|d0
00360,1,1,0|d0
00368,1,1,0|d0
00377,1,1,2|d0
00379,1,1,1|d0
00403,1,1,0|d0
00412,1,1,1|d0
00413,1,1,1|d0
00419,1,1,0|d0
00517,1,1,2|d0
00518,1,1,2|d0
00521,1,1,2|d0
00523,1,1,2|d0
00529,1,1,0|d0
00532,1,1,1|d0
00533,1,1,1|d0
00535,1,1,1|d0
00537,1,1,2|d0
00541,1,1,2|d0
840172,1,1,1|d1
844753,1,1,1|d1
845492,1,2,2|d1
847666,1,2,1|d1
850738,1,2,0|d1
850830,1,1,0|d1
851108,1,1,2|d1
859088,1,1,1|d1
859913,1,2,1|d1
00229,2,1,1|d0
00232,2,1,1|d0
00240,2,1,1|d0
00244,2,1,1|d0
00247,2,1,1|d0
00256,2,1,1|d0
00267,2,1,1|d0
00284,2,1,2|d0
00285,2,1,2|d0
00288,2,1,2|d0
00289,2,1,2|d0
00292,2,1,2|d0
00299,2,1,2|d0
00303,2,1,0|d0
00305,2,1,0|d0
00309,2,1,0|d0
00315,2,1,0|d0
00321,2,1,0|d0
00328,2,1,2|d0
00330,2,1,2|d0
00338,2,1,2|d0
00341,2,1,2|d0
00351,2,1,1|d0
00359,2,1,0|d0
00369,2,1,0|d0
00372,2,1,0|d0
00383,2,1,1|d0
00384,2,1,1|d0
00385,2,1,0|d0
00386,2,1,0|d0
00392,2,1,0|d0
00397,2,1,1|d0
00399,2,1,1|d0
00402,2,1,0|d0
00404,2,1,0|d0
00418,2,1,2|d0
00511,2,1,2|d0
00512,2,1,2|d0
00516,2,1,2|d0
00520,2,1,2|d0
00527,2,1,0|d0
00531,2,1,1|d0
00538,2,1,2|d0
00540,2,1,2|d0
00548,2,1,1|d0
845238,2,2,2|d1
846900,2,1,2|d1
850238,2,2,0|d1
850823,2,1,1|d1
851013,2,1,1|d1
851843,2,1,1|d1
860387,2,2,1|d1
861649,2,2,1|d1
861844,2,1,1|d1
00212,3,2,0|d0
00233,3,1,1|d0
00234,3,1,1|d0
00235,3,1,1|d0
00237,3,1,1|d0
00239,3,1,1|d0
00249,3,1,1|d0
00250,3,1,1|d0
00255,3,1,0|d0
00260,3,1,0|d0
00266,3,1,0|d0
00271,3,1,1|d0
00275,3,1,1|d0
00277,3,1,2|d0
00278,3,1,2|d0
00280,3,1,2|d0
00291,3,1,2|d0
00294,3,1,1|d0
00296,3,1,2|d0
00297,3,1,2|d0
00314,3,1,0|d0
00320,3,1,0|d0
00323,3,1,0|d0
00329,3,1,2|d0
00331,3,1,2|d0
00337,3,1,2|d0
00346,3,1,2|d0
00362,3,1,0|d0
00380,3,1,1|d0
00382,3,1,0|d0
00387,3,1,0|d0
00391,3,1,0|d0
00395,3,1,2|d0
00396,3,1,2|d0
00408,3,1,0|d0
00411,3,1,1|d0
00414,3,1,1|d0
00420,3,1,2|d0
00513,3,1,2|d0
00514,3,1,2|d0
00522,3,1,2|d0
00525,3,1,2|d0
00530,3,1,0|d0
00534,3,1,1|d0
00551,3,1,1|d0
675976,3,2,1|d1
846076,3,2,2|d1
849652,3,1,1|d1
851367,3,3,0|d1
851519,3,4,1|d1
861670,3,1,1|d1
00102,4,3,1|d0
00228,4,1,1|d0
00248,4,1,1|d0
00251,4,1,1|d0
00261,4,1,0|d0
00281,4,1,2|d0
00300,4,1,0|d0
00301,4,1,0|d0
00302,4,1,0|d0
00306,4,1,0|d0
00307,4,1,0|d0
00310,4,1,0|d0
00311,4,1,0|d0
00312,4,1,0|d0
00324,4,1,2|d0
00325,4,1,2|d0
00326,4,1,2|d0
00327,4,1,2|d0
00343,4,1,2|d0
00347,4,1,2|d0
00348,4,1,1|d0
00350,4,1,1|d0
00352,4,1,1|d0
00353,4,1,1|d0
00355,4,1,1|d0
00356,4,1,1|d0
00363,4,1,2|d0
00364,4,1,2|d0
00365,4,1,2|d0
00366,4,1,2|d0
00370,4,1,0|d0
00373,4,1,2|d0
00375,4,1,2|d0
00388,4,1,2|d0
00393,4,1,0|d0
00398,4,1,1|d0
00406,4,1,2|d0
00410,4,1,2|d0
00415,4,1,0|d0
00417,4,1,2|d0
00519,4,1,2|d0
00526,4,1,0|d0
00549,4,1,1|d0
00552,4,1,1|d0
497749,4,2,0|d1
707357,4,1,1|d1
806694,4,1,1|d1
845031,4,2,1|d1
845380,4,1,2|d1
845408,4,1,2|d1
846108,4,1,1|d1
846184,4,2,1|d1
860662,4,1,1|d1
861636,4,1,0|d1
