task_name,fold,num_train_groups,num_test_groups,accuracy,balanced_accuracy,macro_f1
side_from_side_rep,0,234,59,0.864406779661017,0.8609625668449198,0.8595779220779222
side_from_side_rep,1,235,58,0.9137931034482759,0.9049019607843137,0.9067385894092571
side_from_side_rep,2,235,58,0.9310344827586207,0.9321969696969697,0.9294337099215148
side_from_side_rep,3,234,59,0.8983050847457628,0.887468030690537,0.889666782770231
side_from_side_rep,4,234,59,0.9152542372881356,0.9083333333333333,0.9146345717774289
side_from_free_rep,0,234,59,0.5254237288135594,0.49385026737967913,0.4375568551007148
side_from_free_rep,1,235,58,0.4482758620689655,0.42436974789915966,0.37611749680715195
side_from_free_rep,2,235,58,0.5172413793103449,0.47689393939393937,0.42404403621913883
side_from_free_rep,3,234,59,0.5084745762711864,0.4744469870327994,0.4024691358024692
side_from_free_rep,4,234,59,0.423728813559322,0.38405797101449274,0.3311965811965812
label5_from_side_rep,0,234,59,0.7627118644067796,0.5594231791600213,0.5326840356705718
label5_from_side_rep,1,235,58,0.6724137931034483,0.5727272727272728,0.526475279106858
label5_from_side_rep,2,235,58,0.7931034482758621,0.6802308802308803,0.6401820728291316
label5_from_side_rep,3,234,59,0.711864406779661,0.5942857142857143,0.5482333686338692
label5_from_side_rep,4,234,59,0.7627118644067796,0.7028571428571428,0.6669723759949323
label5_from_free_rep,0,234,59,0.4745762711864407,0.26889952153110047,0.22000000000000003
label5_from_free_rep,1,235,58,0.3620689655172414,0.2346320346320346,0.1686153846153846
label5_from_free_rep,2,235,58,0.46551724137931033,0.28181818181818186,0.21730670762928828
label5_from_free_rep,3,234,59,0.4915254237288136,0.32806324110671936,0.2435164835164835
label5_from_free_rep,4,234,59,0.4067796610169492,0.2539130434782609,0.18214285714285713
dataset_from_side_rep,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_side_rep,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_side_rep,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_side_rep,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_side_rep,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_free_rep,0,234,59,0.7627118644067796,0.544314381270903,0.5411111111111111
dataset_from_free_rep,1,235,58,0.8448275862068966,0.7085470085470086,0.7383458646616541
dataset_from_free_rep,2,235,58,0.8103448275862069,0.6042735042735042,0.6209150326797386
dataset_from_free_rep,3,234,59,0.8135593220338984,0.6321070234113713,0.6549707602339181
dataset_from_free_rep,4,234,59,0.847457627118644,0.7090301003344481,0.7393225331369662
dataset_from_private_rep,0,234,59,0.8983050847457628,0.8520066889632107,0.8520066889632107
dataset_from_private_rep,1,235,58,0.8620689655172413,0.8017094017094017,0.8017094017094017
dataset_from_private_rep,2,235,58,0.9137931034482759,0.8076923076923077,0.8546365914786969
dataset_from_private_rep,3,234,59,0.8983050847457628,0.7968227424749164,0.8323863636363638
dataset_from_private_rep,4,234,59,0.9491525423728814,0.939799331103679,0.927960927960928
side_from_usage,0,234,59,0.864406779661017,0.8623885918003564,0.8612403100775193
side_from_usage,1,235,58,0.9482758620689655,0.9441176470588234,0.9483974358974359
side_from_usage,2,235,58,0.9482758620689655,0.9530303030303031,0.9478524743230626
side_from_usage,3,234,59,0.9152542372881356,0.9070758738277919,0.9098887159084356
side_from_usage,4,234,59,0.8983050847457628,0.8958333333333334,0.8969444444444444
label5_from_usage,0,234,59,0.7288135593220338,0.5514088250930357,0.527476445123504
label5_from_usage,1,235,58,0.6551724137931034,0.5696969696969697,0.495
label5_from_usage,2,235,58,0.7758620689655172,0.638961038961039,0.584431084686839
label5_from_usage,3,234,59,0.6949152542372882,0.5742857142857143,0.5158333333333334
label5_from_usage,4,234,59,0.7288135593220338,0.6371428571428571,0.566097902097902
side_from_coeff,0,234,59,0.8813559322033898,0.8761140819964349,0.875484496124031
side_from_coeff,1,235,58,0.896551724137931,0.8898225957049486,0.8941282746160795
side_from_coeff,2,235,58,0.9310344827586207,0.9337121212121212,0.9315206088107392
side_from_coeff,3,234,59,0.864406779661017,0.8533674339300937,0.8544973544973544
side_from_coeff,4,234,59,0.8813559322033898,0.8771739130434782,0.8839351125065411
label5_from_coeff,0,234,59,0.7796610169491526,0.5685140882509303,0.5359154295996401
label5_from_coeff,1,235,58,0.6724137931034483,0.5813852813852813,0.530544543176122
label5_from_coeff,2,235,58,0.7931034482758621,0.6802308802308803,0.6440709617180206
label5_from_coeff,3,234,59,0.6779661016949152,0.5655900621118013,0.5160252513444002
label5_from_coeff,4,234,59,0.7796610169491526,0.7142857142857142,0.663468534675965
side_from_usage_coeff,0,234,59,0.864406779661017,0.8623885918003564,0.8612403100775193
