task_name,num_groups,num_features,num_classes,accuracy,balanced_accuracy,macro_f1
dataset_from_coeff,293,1,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_free_rep,293,32,2,0.8156996587030717,0.639608636977058,0.6636479591836735
dataset_from_private_rep,293,32,2,0.9044368600682594,0.839608636977058,0.8550734878462407
dataset_from_side_rep,293,3,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_usage,293,3,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_usage_coeff,293,4,2,0.7781569965870307,0.5,0.43761996161228406
label5_from_coeff,293,1,5,0.7406143344709898,0.6217766017766018,0.5835277762079515
label5_from_free_rep,293,32,5,0.4402730375426621,0.2745114345114345,0.20797775195085508
label5_from_side_rep,293,3,5,0.7406143344709898,0.6234385434385434,0.5894773777558588
label5_from_usage,293,3,5,0.7167235494880546,0.5956133056133056,0.5424903642704029
label5_from_usage_coeff,293,4,5,0.7542662116040956,0.6418137718137717,0.6081643878811912
side_from_coeff,293,1,3,0.8907849829351536,0.8852258611294755,0.888461330665519
side_from_free_rep,293,32,3,0.48464163822525597,0.4502136309365225,0.3934371053306219
side_from_side_rep,293,3,3,0.9044368600682594,0.8978869340315123,0.9003102316195295
side_from_usage,293,3,3,0.9146757679180887,0.9115183091086706,0.9130610001899195
side_from_usage_coeff,293,4,3,0.9180887372013652,0.9148853124756738,0.9158117012642207
