i,j,point_id_i,point_id_j,value
0,1,164,167,0.0402323342859745
0,2,164,165,0.1091400533914566
0,3,164,92,0.12879937887191772
0,4,164,186,0.13519138097763062
0,5,164,57,0.10932596772909164
0,6,164,43,0.10096322745084763
0,7,164,106,0.07729049026966095
0,8,164,182,0.04837747663259506
0,9,164,83,0.0018881335854530334
0,10,164,18,0.03352460265159607
0,11,164,200,0.033148542046546936
0,12,164,201,-0.003928419202566147
0,13,164,194,0.047784194350242615
0,14,164,204,0.06677940487861633
0,15,164,202,0.07808804512023926
0,16,164,212,0.10688786208629608
0,17,164,216,0.10782133787870407
0,18,164,206,0.12787851691246033
0,19,164,203,0.11526363343000412
0,20,164,207,0.08191770315170288
0,21,164,205,0.09843678772449493
0,22,164,98,0.08131539821624756
0,23,164,97,0.04595116153359413
0,24,164,393,0.021346038207411766
0,25,164,391,0.030839966610074043
0,26,164,322,0.037514884024858475
0,27,164,410,0.041228361427783966
0,28,164,287,0.059774573892354965
0,29,164,273,0.10541700571775436
0,30,164,335,0.09564892947673798
0,31,164,406,0.10524658113718033
0,32,164,313,0.09540526568889618
0,33,164,421,0.06927400827407837
0,34,164,418,0.07232627272605896
0,35,164,424,0.06204070895910263
0,36,164,422,0.04419552907347679
0,37,164,432,0.027038050815463066
0,38,164,436,0.0008110776543617249
0,39,164,426,0.0020371507853269577
0,40,164,423,0.018636485561728477
0,41,164,427,-0.018593691289424896
0,42,164,425,0.006016600877046585
0,43,164,327,0.020866475999355316
0,44,164,326,0.012084676884114742
0,45,164,0,0.017755255103111267
0,46,164,37,0.018188532441854477
0,47,164,39,0.054012998938560486
0,48,164,40,0.08528588712215424
0,49,164,185,0.0837332010269165
0,50,164,61,0.06660798192024231
0,51,164,146,0.05752598121762276
0,52,164,91,0.03921857848763466
0,53,164,181,-0.001204371452331543
0,54,164,84,-0.05521348863840103
0,55,164,17,0.05577051639556885
0,56,164,11,0.01811741106212139
0,57,164,72,0.010556168854236603
0,58,164,73,0.0542459562420845
0,59,164,74,0.07978091388940811
0,60,164,184,0.08021551370620728
0,61,164,77,0.05167657881975174
0,62,164,90,0.04070846363902092
0,63,164,180,-0.008027665317058563
0,64,164,85,-0.0683889389038086
0,65,164,16,0.060645803809165955
0,66,164,12,0.01977442391216755
0,67,164,38,0.00953608751296997
0,68,164,41,0.04248969256877899
