label_5class,basis_i,basis_j,basis_i_name,basis_j_name,corr
0,0,0,b0,b0,0.9999999999999999
0,0,1,b0,b1,0.999999999999998
0,0,2,b0,b4,-0.25854037458703605
0,0,3,b0,b5,0.25854037458703977
0,0,4,b0,b6,-0.25854037458703655
0,0,5,b0,b8,-0.30428331690649413
0,0,6,b0,b9,0.15289447094489417
0,0,7,b0,b10,0.5086185384285258
0,1,0,b1,b0,0.9999999999999979
0,1,1,b1,b1,1.0
0,1,2,b1,b4,-0.2585403745870357
0,1,3,b1,b5,0.2585403745870397
0,1,4,b1,b6,-0.25854037458703627
0,1,5,b1,b8,-0.304283316906497
0,1,6,b1,b9,0.1528944709448914
0,1,7,b1,b10,0.5086185384285257
0,2,0,b4,b0,-0.25854037458703605
0,2,1,b4,b1,-0.2585403745870357
0,2,2,b4,b4,1.0
0,2,3,b4,b5,-1.0
0,2,4,b4,b6,0.9999999999999997
0,2,5,b4,b8,0.08324793705694998
0,2,6,b4,b9,-0.011625904107102377
0,2,7,b4,b10,-0.3901014288138315
0,3,0,b5,b0,0.25854037458703977
0,3,1,b5,b1,0.2585403745870397
0,3,2,b5,b4,-1.0
0,3,3,b5,b5,1.0
0,3,4,b5,b6,-1.0
0,3,5,b5,b8,-0.08324793705695119
0,3,6,b5,b9,0.011625904107102788
0,3,7,b5,b10,0.3901014288138342
0,4,0,b6,b0,-0.25854037458703655
0,4,1,b6,b1,-0.25854037458703627
0,4,2,b6,b4,0.9999999999999996
0,4,3,b6,b5,-1.0
0,4,4,b6,b6,1.0
0,4,5,b6,b8,0.08324793705694897
0,4,6,b6,b9,-0.011625904107103643
0,4,7,b6,b10,-0.3901014288138318
0,5,0,b8,b0,-0.30428331690649413
0,5,1,b8,b1,-0.304283316906497
0,5,2,b8,b4,0.08324793705694998
0,5,3,b8,b5,-0.08324793705695117
0,5,4,b8,b6,0.08324793705694897
0,5,5,b8,b8,1.0
0,5,6,b8,b9,0.8926840372034252
0,5,7,b8,b10,-0.14732542261082815
0,6,0,b9,b0,0.15289447094489417
0,6,1,b9,b1,0.15289447094489142
0,6,2,b9,b4,-0.011625904107102377
0,6,3,b9,b5,0.011625904107102788
0,6,4,b9,b6,-0.011625904107103643
0,6,5,b9,b8,0.8926840372034252
0,6,6,b9,b9,0.9999999999999999
0,6,7,b9,b10,0.05093669220664311
0,7,0,b10,b0,0.5086185384285258
0,7,1,b10,b1,0.5086185384285257
0,7,2,b10,b4,-0.39010142881383153
0,7,3,b10,b5,0.3901014288138342
0,7,4,b10,b6,-0.39010142881383186
0,7,5,b10,b8,-0.14732542261082815
0,7,6,b10,b9,0.05093669220664311
0,7,7,b10,b10,1.0
1,0,0,b0,b0,1.0
1,0,1,b0,b1,1.0
1,0,2,b0,b4,-0.6630202292135258
1,0,3,b0,b5,0.6630202292135305
1,0,4,b0,b6,-0.6630202292135272
1,0,5,b0,b8,0.26668776393302723
1,0,6,b0,b9,0.314848895135577
1,0,7,b0,b10,0.5724014122917587
1,1,0,b1,b0,1.0
1,1,1,b1,b1,1.0
1,1,2,b1,b4,-0.663020229213526
1,1,3,b1,b5,0.6630202292135303
1,1,4,b1,b6,-0.6630202292135273
1,1,5,b1,b8,0.2666877639330283
1,1,6,b1,b9,0.31484889513557734
1,1,7,b1,b10,0.5724014122917584
1,2,0,b4,b0,-0.6630202292135258
1,2,1,b4,b1,-0.6630202292135259
1,2,2,b4,b4,1.0
1,2,3,b4,b5,-1.0
1,2,4,b4,b6,0.9999999999999998
1,2,5,b4,b8,-0.2759125740597979
1,2,6,b4,b9,-0.3177659031231599
1,2,7,b4,b10,-0.35231440009663967
1,3,0,b5,b0,0.6630202292135305
1,3,1,b5,b1,0.6630202292135303
1,3,2,b5,b4,-1.0
1,3,3,b5,b5,1.0
1,3,4,b5,b6,-1.0
1,3,5,b5,b8,0.2759125740597962
1,3,6,b5,b9,0.3177659031231621
1,3,7,b5,b10,0.3523144000966445
1,4,0,b6,b0,-0.6630202292135272
1,4,1,b6,b1,-0.6630202292135273
1,4,2,b6,b4,0.9999999999999999
1,4,3,b6,b5,-1.0
1,4,4,b6,b6,0.9999999999999998
1,4,5,b6,b8,-0.2759125740597969
1,4,6,b6,b9,-0.3177659031231601
1,4,7,b6,b10,-0.3523144000966412
1,5,0,b8,b0,0.2666877639330272
1,5,1,b8,b1,0.2666877639330283
1,5,2,b8,b4,-0.2759125740597979
1,5,3,b8,b5,0.2759125740597962
1,5,4,b8,b6,-0.2759125740597969
1,5,5,b8,b8,1.0
1,5,6,b8,b9,0.8492616741080322
1,5,7,b8,b10,0.12976190547699826
1,6,0,b9,b0,0.314848895135577
1,6,1,b9,b1,0.31484889513557734
1,6,2,b9,b4,-0.3177659031231599
1,6,3,b9,b5,0.31776590312316205
1,6,4,b9,b6,-0.31776590312316005
1,6,5,b9,b8,0.8492616741080322
1,6,6,b9,b9,1.0
1,6,7,b9,b10,0.37039195718000095
1,7,0,b10,b0,0.5724014122917587
1,7,1,b10,b1,0.5724014122917583
1,7,2,b10,b4,-0.35231440009663967
1,7,3,b10,b5,0.35231440009664455
1,7,4,b10,b6,-0.3523144000966412
1,7,5,b10,b8,0.12976190547699828
1,7,6,b10,b9,0.370391957180001
1,7,7,b10,b10,1.0
2,0,0,b0,b0,1.0
2,0,1,b0,b1,1.0
2,0,2,b0,b4,-0.9448841035072477
2,0,3,b0,b5,0.9448841035072476
2,0,4,b0,b6,-0.9448841035072482
2,0,5,b0,b8,-0.007541168790442451
2,0,6,b0,b9,-0.3420493560906393
2,0,7,b0,b10,-0.2623378597969113
2,1,0,b1,b0,1.0
2,1,1,b1,b1,1.0
2,1,2,b1,b4,-0.9448841035072477
2,1,3,b1,b5,0.9448841035072472
2,1,4,b1,b6,-0.9448841035072476
2,1,5,b1,b8,-0.007541168790442834
2,1,6,b1,b9,-0.34204935609063875
2,1,7,b1,b10,-0.2623378597969106
2,2,0,b4,b0,-0.9448841035072477
2,2,1,b4,b1,-0.9448841035072477
2,2,2,b4,b4,1.0
2,2,3,b4,b5,-0.9999999999999999
2,2,4,b4,b6,1.0
2,2,5,b4,b8,0.03422856572275747
2,2,6,b4,b9,0.3775099185892536
2,2,7,b4,b10,0.2919547327340109
2,3,0,b5,b0,0.9448841035072475
2,3,1,b5,b1,0.9448841035072472
2,3,2,b5,b4,-0.9999999999999999
2,3,3,b5,b5,1.0
2,3,4,b5,b6,-0.9999999999999998
2,3,5,b5,b8,-0.0342285657227572
2,3,6,b5,b9,-0.37750991858925437
2,3,7,b5,b10,-0.29195473273401185
2,4,0,b6,b0,-0.9448841035072482
2,4,1,b6,b1,-0.9448841035072476
2,4,2,b6,b4,1.0
2,4,3,b6,b5,-0.9999999999999999
2,4,4,b6,b6,1.0
2,4,5,b6,b8,0.034228565722757266
2,4,6,b6,b9,0.37750991858925403
2,4,7,b6,b10,0.29195473273401135
2,5,0,b8,b0,-0.007541168790442451
2,5,1,b8,b1,-0.0075411687904428345
2,5,2,b8,b4,0.03422856572275747
2,5,3,b8,b5,-0.0342285657227572
2,5,4,b8,b6,0.034228565722757266
2,5,5,b8,b8,1.0
2,5,6,b8,b9,-0.2994910125931693
2,5,7,b8,b10,-0.29668395543355924
2,6,0,b9,b0,-0.3420493560906393
2,6,1,b9,b1,-0.34204935609063875
2,6,2,b9,b4,0.37750991858925353
2,6,3,b9,b5,-0.3775099185892543
2,6,4,b9,b6,0.37750991858925403
2,6,5,b9,b8,-0.29949101259316935
2,6,6,b9,b9,0.9999999999999998
2,6,7,b9,b10,0.8865546195468178
2,7,0,b10,b0,-0.26233785979691127
2,7,1,b10,b1,-0.2623378597969106
2,7,2,b10,b4,0.2919547327340109
2,7,3,b10,b5,-0.29195473273401185
2,7,4,b10,b6,0.29195473273401135
2,7,5,b10,b8,-0.29668395543355924
2,7,6,b10,b9,0.8865546195468177
2,7,7,b10,b10,0.9999999999999998
3,0,0,b0,b0,1.0
3,0,1,b0,b1,1.0
3,0,2,b0,b4,-0.9957731487926733
3,0,3,b0,b5,0.9957731487926729
3,0,4,b0,b6,-0.995773148792673
3,0,5,b0,b8,0.3150374356593568
3,0,6,b0,b9,0.48071074767507427
3,0,7,b0,b10,-0.12989457618863878
3,1,0,b1,b0,1.0
3,1,1,b1,b1,1.0
3,1,2,b1,b4,-0.9957731487926735
3,1,3,b1,b5,0.9957731487926731
3,1,4,b1,b6,-0.9957731487926732
3,1,5,b1,b8,0.3150374356593558
3,1,6,b1,b9,0.4807107476750739
3,1,7,b1,b10,-0.1298945761886382
3,2,0,b4,b0,-0.9957731487926733
3,2,1,b4,b1,-0.9957731487926735
3,2,2,b4,b4,1.0
3,2,3,b4,b5,-0.9999999999999997
3,2,4,b4,b6,0.9999999999999996
3,2,5,b4,b8,-0.3012811320422516
3,2,6,b4,b9,-0.4725451914376261
3,2,7,b4,b10,0.14314051974204056
3,3,0,b5,b0,0.9957731487926729
3,3,1,b5,b1,0.9957731487926731
3,3,2,b5,b4,-0.9999999999999997
