score,basis_i,basis_j,basis_i_name,basis_j_name,corr
0,0,0,b0,b0,1.0
0,0,1,b0,b1,-0.9999999999999998
0,0,2,b0,b4,-0.9448841035072477
0,0,3,b0,b5,-0.9448841035072483
0,0,4,b0,b6,0.9448841035072467
0,0,5,b0,b8,0.07776691346917872
0,0,6,b0,b9,-0.3970262372142805
0,0,7,b0,b10,0.28315426169255137
0,1,0,b1,b0,-0.9999999999999998
0,1,1,b1,b1,1.0
0,1,2,b1,b4,0.9448841035072467
0,1,3,b1,b5,0.9448841035072477
0,1,4,b1,b6,-0.9448841035072464
0,1,5,b1,b8,-0.0777669134691787
0,1,6,b1,b9,0.39702623721428026
0,1,7,b1,b10,-0.283154261692551
0,2,0,b4,b0,-0.9448841035072477
0,2,1,b4,b1,0.9448841035072467
0,2,2,b4,b4,0.9999999999999999
0,2,3,b4,b5,0.9999999999999997
0,2,4,b4,b6,-0.9999999999999987
0,2,5,b4,b8,-0.09198043923745194
0,2,6,b4,b9,0.4770260918976709
0,2,7,b4,b10,-0.34111910358645053
0,3,0,b5,b0,-0.9448841035072483
0,3,1,b5,b1,0.9448841035072476
0,3,2,b5,b4,0.9999999999999997
0,3,3,b5,b5,1.0
0,3,4,b5,b6,-1.0
0,3,5,b5,b8,-0.0919804392374518
0,3,6,b5,b9,0.4770260918976713
0,3,7,b5,b10,-0.34111910358645114
0,4,0,b6,b0,0.9448841035072467
0,4,1,b6,b1,-0.9448841035072465
0,4,2,b6,b4,-0.9999999999999988
0,4,3,b6,b5,-1.0
0,4,4,b6,b6,1.0
0,4,5,b6,b8,0.09198043923745178
0,4,6,b6,b9,-0.4770260918976711
0,4,7,b6,b10,0.3411191035864511
0,5,0,b8,b0,0.07776691346917872
0,5,1,b8,b1,-0.07776691346917869
0,5,2,b8,b4,-0.09198043923745194
0,5,3,b8,b5,-0.09198043923745182
0,5,4,b8,b6,0.09198043923745178
0,5,5,b8,b8,1.0
0,5,6,b8,b9,-0.0848138738287162
0,5,7,b8,b10,-0.5539355508946908
0,6,0,b9,b0,-0.3970262372142805
0,6,1,b9,b1,0.39702623721428026
0,6,2,b9,b4,0.4770260918976709
0,6,3,b9,b5,0.47702609189767137
0,6,4,b9,b6,-0.4770260918976711
0,6,5,b9,b8,-0.08481387382871622
0,6,6,b9,b9,1.0
0,6,7,b9,b10,-0.7825782621247926
0,7,0,b10,b0,0.28315426169255137
0,7,1,b10,b1,-0.283154261692551
0,7,2,b10,b4,-0.34111910358645053
0,7,3,b10,b5,-0.34111910358645114
0,7,4,b10,b6,0.34111910358645103
0,7,5,b10,b8,-0.5539355508946908
0,7,6,b10,b9,-0.7825782621247926
0,7,7,b10,b10,0.9999999999999998
1,0,0,b0,b0,0.9999999999999999
1,0,1,b0,b1,-1.0
1,0,2,b0,b4,-0.7944103116613368
1,0,3,b0,b5,-0.7944103116613367
1,0,4,b0,b6,0.7944103116613367
1,0,5,b0,b8,-0.13858620483547104
1,0,6,b0,b9,0.21516608595535217
1,0,7,b0,b10,-0.024258728995026083
1,1,0,b1,b0,-1.0
1,1,1,b1,b1,0.9999999999999999
1,1,2,b1,b4,0.7944103116613361
1,1,3,b1,b5,0.7944103116613368
1,1,4,b1,b6,-0.7944103116613367
1,1,5,b1,b8,0.13858620483547104
1,1,6,b1,b9,-0.2151660859553521
1,1,7,b1,b10,0.02425872899502617
1,2,0,b4,b0,-0.7944103116613367
1,2,1,b4,b1,0.7944103116613361
1,2,2,b4,b4,1.0
1,2,3,b4,b5,1.0
1,2,4,b4,b6,-1.0
1,2,5,b4,b8,0.24735867625693608
1,2,6,b4,b9,-0.05488212884129979
1,2,7,b4,b10,-0.11356057699635334
1,3,0,b5,b0,-0.7944103116613367
1,3,1,b5,b1,0.7944103116613367
1,3,2,b5,b4,1.0
1,3,3,b5,b5,1.0
1,3,4,b5,b6,-0.9999999999999998
1,3,5,b5,b8,0.24735867625693608
1,3,6,b5,b9,-0.054882128841299956
1,3,7,b5,b10,-0.11356057699635319
1,4,0,b6,b0,0.7944103116613367
1,4,1,b6,b1,-0.7944103116613367
1,4,2,b6,b4,-1.0
1,4,3,b6,b5,-0.9999999999999998
1,4,4,b6,b6,1.0
1,4,5,b6,b8,-0.2473586762569361
1,4,6,b6,b9,0.054882128841299976
1,4,7,b6,b10,0.11356057699635325
1,5,0,b8,b0,-0.13858620483547107
1,5,1,b8,b1,0.13858620483547102
1,5,2,b8,b4,0.2473586762569361
1,5,3,b8,b5,0.24735867625693608
1,5,4,b8,b6,-0.24735867625693614
1,5,5,b8,b8,1.0
1,5,6,b8,b9,0.8431373280571378
1,5,7,b8,b10,-0.9666143577079281
1,6,0,b9,b0,0.21516608595535217
1,6,1,b9,b1,-0.21516608595535214
1,6,2,b9,b4,-0.05488212884129978
1,6,3,b9,b5,-0.05488212884129996
1,6,4,b9,b6,0.054882128841299976
1,6,5,b9,b8,0.8431373280571378
1,6,6,b9,b9,1.0
1,6,7,b9,b10,-0.9527660903808113
1,7,0,b10,b0,-0.024258728995026086
1,7,1,b10,b1,0.02425872899502617
1,7,2,b10,b4,-0.11356057699635334
1,7,3,b10,b5,-0.1135605769963532
1,7,4,b10,b6,0.11356057699635325
1,7,5,b10,b8,-0.9666143577079284
1,7,6,b10,b9,-0.9527660903808113
1,7,7,b10,b10,0.9999999999999998
2,0,0,b0,b0,1.0
2,0,1,b0,b1,-0.9999999999999977
2,0,2,b0,b4,-0.2732271474122361
2,0,3,b0,b5,-0.27322714741223425
2,0,4,b0,b6,0.273227147412234
2,0,5,b0,b8,-0.13225585653550181
2,0,6,b0,b9,-0.03692292366452213
2,0,7,b0,b10,0.09009313486310838
2,1,0,b1,b0,-0.9999999999999977
2,1,1,b1,b1,0.9999999999999999
2,1,2,b1,b4,0.27322714741223647
2,1,3,b1,b5,0.2732271474122347
2,1,4,b1,b6,-0.2732271474122346
2,1,5,b1,b8,0.1322558565355019
2,1,6,b1,b9,0.03692292366452216
2,1,7,b1,b10,-0.09009313486310841
2,2,0,b4,b0,-0.27322714741223614
2,2,1,b4,b1,0.2732271474122365
2,2,2,b4,b4,1.0
2,2,3,b4,b5,1.0
2,2,4,b4,b6,-0.9999999999999988
2,2,5,b4,b8,0.2074571634540741
2,2,6,b4,b9,0.12390240177183759
2,2,7,b4,b10,-0.17120644152609749
2,3,0,b5,b0,-0.27322714741223425
2,3,1,b5,b1,0.27322714741223475
2,3,2,b5,b4,1.0
2,3,3,b5,b5,1.0
2,3,4,b5,b6,-1.0
2,3,5,b5,b8,0.2074571634540741
2,3,6,b5,b9,0.12390240177183788
2,3,7,b5,b10,-0.1712064415260975
2,4,0,b6,b0,0.273227147412234
2,4,1,b6,b1,-0.2732271474122346
2,4,2,b6,b4,-0.9999999999999989
2,4,3,b6,b5,-1.0
2,4,4,b6,b6,0.9999999999999998
2,4,5,b6,b8,-0.20745716345407386
2,4,6,b6,b9,-0.1239024017718377
2,4,7,b6,b10,0.17120644152609724
2,5,0,b8,b0,-0.13225585653550181
2,5,1,b8,b1,0.1322558565355019
2,5,2,b8,b4,0.2074571634540741
2,5,3,b8,b5,0.20745716345407414
2,5,4,b8,b6,-0.20745716345407386
2,5,5,b8,b8,1.0
2,5,6,b8,b9,0.9693225607034148
2,5,7,b8,b10,-0.9937841243102291
2,6,0,b9,b0,-0.03692292366452213
2,6,1,b9,b1,0.03692292366452217
2,6,2,b9,b4,0.12390240177183759
2,6,3,b9,b5,0.12390240177183787
2,6,4,b9,b6,-0.1239024017718377
2,6,5,b9,b8,0.9693225607034149
2,6,6,b9,b9,1.0
2,6,7,b9,b10,-0.990660025471006
2,7,0,b10,b0,0.09009313486310838
2,7,1,b10,b1,-0.09009313486310842
2,7,2,b10,b4,-0.1712064415260975
2,7,3,b10,b5,-0.17120644152609749
2,7,4,b10,b6,0.17120644152609724
2,7,5,b10,b8,-0.993784124310229
2,7,6,b10,b9,-0.990660025471006
2,7,7,b10,b10,0.9999999999999998
