side_label_name,basis_i,basis_j,basis_i_name,basis_j_name,corr
Left,0,0,b0,b0,1.0
Left,0,1,b0,b1,0.9999999999999998
Left,0,2,b0,b4,-0.47911573134521324
Left,0,3,b0,b5,0.4791157313452185
Left,0,4,b0,b6,-0.4791157313452146
Left,0,5,b0,b8,0.16270521211895614
Left,0,6,b0,b9,0.29153339030246433
Left,0,7,b0,b10,0.544938742363899
Left,1,0,b1,b0,0.9999999999999998
Left,1,1,b1,b1,1.0
Left,1,2,b1,b4,-0.4791157313452136
Left,1,3,b1,b5,0.4791157313452184
Left,1,4,b1,b6,-0.47911573134521496
Left,1,5,b1,b8,0.16270521211895672
Left,1,6,b1,b9,0.29153339030246456
Left,1,7,b1,b10,0.5449387423638992
Left,2,0,b4,b0,-0.47911573134521324
Left,2,1,b4,b1,-0.47911573134521357
Left,2,2,b4,b4,1.0
Left,2,3,b4,b5,-0.9999999999999999
Left,2,4,b4,b6,1.0
Left,2,5,b4,b8,-0.15965849033631904
Left,2,6,b4,b9,-0.21633257926091445
Left,2,7,b4,b10,-0.30738262737445665
Left,3,0,b5,b0,0.4791157313452185
Left,3,1,b5,b1,0.4791157313452184
Left,3,2,b5,b4,-0.9999999999999999
Left,3,3,b5,b5,0.9999999999999999
Left,3,4,b5,b6,-1.0
Left,3,5,b5,b8,0.15965849033631804
Left,3,6,b5,b9,0.21633257926091662
Left,3,7,b5,b10,0.30738262737446054
Left,4,0,b6,b0,-0.4791157313452146
Left,4,1,b6,b1,-0.47911573134521496
Left,4,2,b6,b4,1.0
Left,4,3,b6,b5,-1.0
Left,4,4,b6,b6,1.0
Left,4,5,b6,b8,-0.15965849033631876
Left,4,6,b6,b9,-0.216332579260915
Left,4,7,b6,b10,-0.3073826273744578
Left,5,0,b8,b0,0.16270521211895614
Left,5,1,b8,b1,0.16270521211895675
Left,5,2,b8,b4,-0.15965849033631904
Left,5,3,b8,b5,0.15965849033631804
Left,5,4,b8,b6,-0.15965849033631874
Left,5,5,b8,b8,0.9999999999999999
Left,5,6,b8,b9,0.8295285091863712
Left,5,7,b8,b10,0.05976970415710738
Left,6,0,b9,b0,0.29153339030246433
Left,6,1,b9,b1,0.29153339030246456
Left,6,2,b9,b4,-0.21633257926091445
Left,6,3,b9,b5,0.21633257926091662
Left,6,4,b9,b6,-0.216332579260915
Left,6,5,b9,b8,0.8295285091863712
Left,6,6,b9,b9,0.9999999999999998
Left,6,7,b9,b10,0.2950600094505656
Left,7,0,b10,b0,0.544938742363899
Left,7,1,b10,b1,0.5449387423638992
Left,7,2,b10,b4,-0.3073826273744567
Left,7,3,b10,b5,0.3073826273744606
Left,7,4,b10,b6,-0.3073826273744579
Left,7,5,b10,b8,0.059769704157107376
Left,7,6,b10,b9,0.2950600094505656
Left,7,7,b10,b10,1.0
Normal,0,0,b0,b0,1.0
Normal,0,1,b0,b1,1.0
Normal,0,2,b0,b4,-0.9448841035072477
Normal,0,3,b0,b5,0.9448841035072476
Normal,0,4,b0,b6,-0.9448841035072482
Normal,0,5,b0,b8,-0.007541168790442451
Normal,0,6,b0,b9,-0.3420493560906393
Normal,0,7,b0,b10,-0.2623378597969113
Normal,1,0,b1,b0,1.0
Normal,1,1,b1,b1,1.0
Normal,1,2,b1,b4,-0.9448841035072477
Normal,1,3,b1,b5,0.9448841035072472
Normal,1,4,b1,b6,-0.9448841035072476
Normal,1,5,b1,b8,-0.007541168790442834
Normal,1,6,b1,b9,-0.34204935609063875
Normal,1,7,b1,b10,-0.2623378597969106
Normal,2,0,b4,b0,-0.9448841035072477
Normal,2,1,b4,b1,-0.9448841035072477
Normal,2,2,b4,b4,1.0
Normal,2,3,b4,b5,-0.9999999999999999
Normal,2,4,b4,b6,1.0
Normal,2,5,b4,b8,0.03422856572275747
Normal,2,6,b4,b9,0.3775099185892536
Normal,2,7,b4,b10,0.2919547327340109
Normal,3,0,b5,b0,0.9448841035072475
Normal,3,1,b5,b1,0.9448841035072472
Normal,3,2,b5,b4,-0.9999999999999999
Normal,3,3,b5,b5,1.0
Normal,3,4,b5,b6,-0.9999999999999998
Normal,3,5,b5,b8,-0.0342285657227572
Normal,3,6,b5,b9,-0.37750991858925437
Normal,3,7,b5,b10,-0.29195473273401185
Normal,4,0,b6,b0,-0.9448841035072482
Normal,4,1,b6,b1,-0.9448841035072476
Normal,4,2,b6,b4,1.0
Normal,4,3,b6,b5,-0.9999999999999999
Normal,4,4,b6,b6,1.0
Normal,4,5,b6,b8,0.034228565722757266
Normal,4,6,b6,b9,0.37750991858925403
Normal,4,7,b6,b10,0.29195473273401135
Normal,5,0,b8,b0,-0.007541168790442451
Normal,5,1,b8,b1,-0.0075411687904428345
Normal,5,2,b8,b4,0.03422856572275747
Normal,5,3,b8,b5,-0.0342285657227572
Normal,5,4,b8,b6,0.034228565722757266
Normal,5,5,b8,b8,1.0
Normal,5,6,b8,b9,-0.2994910125931693
Normal,5,7,b8,b10,-0.29668395543355924
Normal,6,0,b9,b0,-0.3420493560906393
Normal,6,1,b9,b1,-0.34204935609063875
Normal,6,2,b9,b4,0.37750991858925353
Normal,6,3,b9,b5,-0.3775099185892543
Normal,6,4,b9,b6,0.37750991858925403
Normal,6,5,b9,b8,-0.29949101259316935
Normal,6,6,b9,b9,0.9999999999999998
Normal,6,7,b9,b10,0.8865546195468178
Normal,7,0,b10,b0,-0.26233785979691127
Normal,7,1,b10,b1,-0.2623378597969106
Normal,7,2,b10,b4,0.2919547327340109
Normal,7,3,b10,b5,-0.29195473273401185
Normal,7,4,b10,b6,0.29195473273401135
Normal,7,5,b10,b8,-0.29668395543355924
Normal,7,6,b10,b9,0.8865546195468177
Normal,7,7,b10,b10,0.9999999999999998
Right,0,0,b0,b0,1.0
Right,0,1,b0,b1,0.9999999999999983
Right,0,2,b0,b4,-0.6301846562420866
Right,0,3,b0,b5,0.6301846562420873
Right,0,4,b0,b6,-0.6301846562420852
Right,0,5,b0,b8,0.31743617121608264
Right,0,6,b0,b9,0.5226894412797762
Right,0,7,b0,b10,-0.21229745698774755
Right,1,0,b1,b0,0.9999999999999984
Right,1,1,b1,b1,0.9999999999999999
Right,1,2,b1,b4,-0.6301846562420844
Right,1,3,b1,b5,0.6301846562420884
Right,1,4,b1,b6,-0.6301846562420849
Right,1,5,b1,b8,0.31743617121608175
Right,1,6,b1,b9,0.5226894412797757
Right,1,7,b1,b10,-0.21229745698774696
Right,2,0,b4,b0,-0.6301846562420866
Right,2,1,b4,b1,-0.6301846562420843
Right,2,2,b4,b4,1.0
Right,2,3,b4,b5,-0.9999999999999999
Right,2,4,b4,b6,1.0
Right,2,5,b4,b8,-0.31039998631607324
Right,2,6,b4,b9,-0.35589720959916255
Right,2,7,b4,b10,0.1288126784702297
Right,3,0,b5,b0,0.6301846562420872
Right,3,1,b5,b1,0.6301846562420883
Right,3,2,b5,b4,-0.9999999999999998
Right,3,3,b5,b5,1.0
Right,3,4,b5,b6,-0.9999999999999996
Right,3,5,b5,b8,0.31039998631607496
Right,3,6,b5,b9,0.3558972095991656
Right,3,7,b5,b10,-0.12881267847023095
Right,4,0,b6,b0,-0.6301846562420852
Right,4,1,b6,b1,-0.6301846562420849
Right,4,2,b6,b4,1.0
Right,4,3,b6,b5,-0.9999999999999996
Right,4,4,b6,b6,1.0
Right,4,5,b6,b8,-0.3103999863160736
Right,4,6,b6,b9,-0.35589720959916327
Right,4,7,b6,b10,0.12881267847023056
Right,5,0,b8,b0,0.3174361712160827
Right,5,1,b8,b1,0.31743617121608175
Right,5,2,b8,b4,-0.31039998631607324
Right,5,3,b8,b5,0.3103999863160749
Right,5,4,b8,b6,-0.3103999863160736
Right,5,5,b8,b8,0.9999999999999999
Right,5,6,b8,b9,0.7286900292645497
Right,5,7,b8,b10,0.3476566801661025
Right,6,0,b9,b0,0.5226894412797761
Right,6,1,b9,b1,0.5226894412797756
Right,6,2,b9,b4,-0.3558972095991625
Right,6,3,b9,b5,0.35589720959916565
Right,6,4,b9,b6,-0.35589720959916327
Right,6,5,b9,b8,0.7286900292645496
Right,6,6,b9,b9,1.0
Right,6,7,b9,b10,0.31390320286008266
Right,7,0,b10,b0,-0.21229745698774755
Right,7,1,b10,b1,-0.21229745698774696
Right,7,2,b10,b4,0.12881267847022973
Right,7,3,b10,b5,-0.12881267847023092
Right,7,4,b10,b6,0.1288126784702306
Right,7,5,b10,b8,0.3476566801661025
Right,7,6,b10,b9,0.31390320286008266
Right,7,7,b10,b10,1.0
