side_label_name,basis_i,basis_j,basis_i_name,basis_j_name,corr
Left,0,0,b0,b0,1.0
Left,0,1,b0,b1,-0.9999999999999997
Left,0,2,b0,b4,-0.4791157313452157
Left,0,3,b0,b5,-0.4791157313452155
Left,0,4,b0,b6,0.4791157313452155
Left,0,5,b0,b8,0.8543880070563766
Left,0,6,b0,b9,0.734453846845146
Left,0,7,b0,b10,-0.80050778354807
Left,1,0,b1,b0,-0.9999999999999997
Left,1,1,b1,b1,1.0
Left,1,2,b1,b4,0.47911573134521535
Left,1,3,b1,b5,0.47911573134521496
Left,1,4,b1,b6,-0.47911573134521535
Left,1,5,b1,b8,-0.8543880070563761
Left,1,6,b1,b9,-0.7344538468451455
Left,1,7,b1,b10,0.8005077835480688
Left,2,0,b4,b0,-0.4791157313452156
Left,2,1,b4,b1,0.4791157313452153
Left,2,2,b4,b4,1.0
Left,2,3,b4,b5,0.9999999999999992
Left,2,4,b4,b6,-0.9999999999999998
Left,2,5,b4,b8,-0.3908541749423602
Left,2,6,b4,b9,-0.3772333316714029
Left,2,7,b4,b10,0.3958500085737279
Left,3,0,b5,b0,-0.47911573134521546
Left,3,1,b5,b1,0.47911573134521496
Left,3,2,b5,b4,0.9999999999999993
Left,3,3,b5,b5,1.0
Left,3,4,b5,b6,-1.0
Left,3,5,b5,b8,-0.39085417494236024
Left,3,6,b5,b9,-0.37723333167140255
Left,3,7,b5,b10,0.3958500085737276
Left,4,0,b6,b0,0.47911573134521557
Left,4,1,b6,b1,-0.4791157313452153
Left,4,2,b6,b4,-0.9999999999999999
Left,4,3,b6,b5,-1.0
Left,4,4,b6,b6,1.0
Left,4,5,b6,b8,0.3908541749423603
Left,4,6,b6,b9,0.37723333167140266
Left,4,7,b6,b10,-0.3958500085737279
Left,5,0,b8,b0,0.8543880070563767
Left,5,1,b8,b1,-0.8543880070563761
Left,5,2,b8,b4,-0.39085417494236013
Left,5,3,b8,b5,-0.39085417494236024
Left,5,4,b8,b6,0.3908541749423603
Left,5,5,b8,b8,1.0
Left,5,6,b8,b9,0.831936860700807
Left,5,7,b8,b10,-0.9170361921053334
Left,6,0,b9,b0,0.734453846845146
Left,6,1,b9,b1,-0.7344538468451455
Left,6,2,b9,b4,-0.3772333316714029
Left,6,3,b9,b5,-0.3772333316714025
Left,6,4,b9,b6,0.3772333316714027
Left,6,5,b9,b8,0.8319368607008069
Left,6,6,b9,b9,1.0
Left,6,7,b9,b10,-0.9842007039204874
Left,7,0,b10,b0,-0.8005077835480701
Left,7,1,b10,b1,0.800507783548069
Left,7,2,b10,b4,0.3958500085737279
Left,7,3,b10,b5,0.39585000857372765
Left,7,4,b10,b6,-0.3958500085737279
Left,7,5,b10,b8,-0.9170361921053335
Left,7,6,b10,b9,-0.9842007039204873
Left,7,7,b10,b10,1.0
Normal,0,0,b0,b0,1.0
Normal,0,1,b0,b1,-0.9999999999999998
Normal,0,2,b0,b4,-0.9448841035072477
Normal,0,3,b0,b5,-0.9448841035072483
Normal,0,4,b0,b6,0.9448841035072467
Normal,0,5,b0,b8,0.07776691346917872
Normal,0,6,b0,b9,-0.3970262372142805
Normal,0,7,b0,b10,0.28315426169255137
Normal,1,0,b1,b0,-0.9999999999999998
Normal,1,1,b1,b1,1.0
Normal,1,2,b1,b4,0.9448841035072467
Normal,1,3,b1,b5,0.9448841035072477
Normal,1,4,b1,b6,-0.9448841035072464
Normal,1,5,b1,b8,-0.0777669134691787
Normal,1,6,b1,b9,0.39702623721428026
Normal,1,7,b1,b10,-0.283154261692551
Normal,2,0,b4,b0,-0.9448841035072477
Normal,2,1,b4,b1,0.9448841035072467
Normal,2,2,b4,b4,0.9999999999999999
Normal,2,3,b4,b5,0.9999999999999997
Normal,2,4,b4,b6,-0.9999999999999987
Normal,2,5,b4,b8,-0.09198043923745194
Normal,2,6,b4,b9,0.4770260918976709
Normal,2,7,b4,b10,-0.34111910358645053
Normal,3,0,b5,b0,-0.9448841035072483
Normal,3,1,b5,b1,0.9448841035072476
Normal,3,2,b5,b4,0.9999999999999997
Normal,3,3,b5,b5,1.0
Normal,3,4,b5,b6,-1.0
Normal,3,5,b5,b8,-0.0919804392374518
Normal,3,6,b5,b9,0.4770260918976713
Normal,3,7,b5,b10,-0.34111910358645114
Normal,4,0,b6,b0,0.9448841035072467
Normal,4,1,b6,b1,-0.9448841035072465
Normal,4,2,b6,b4,-0.9999999999999988
Normal,4,3,b6,b5,-1.0
Normal,4,4,b6,b6,1.0
Normal,4,5,b6,b8,0.09198043923745178
Normal,4,6,b6,b9,-0.4770260918976711
Normal,4,7,b6,b10,0.3411191035864511
Normal,5,0,b8,b0,0.07776691346917872
Normal,5,1,b8,b1,-0.07776691346917869
Normal,5,2,b8,b4,-0.09198043923745194
Normal,5,3,b8,b5,-0.09198043923745182
Normal,5,4,b8,b6,0.09198043923745178
Normal,5,5,b8,b8,1.0
Normal,5,6,b8,b9,-0.0848138738287162
Normal,5,7,b8,b10,-0.5539355508946908
Normal,6,0,b9,b0,-0.3970262372142805
Normal,6,1,b9,b1,0.39702623721428026
Normal,6,2,b9,b4,0.4770260918976709
Normal,6,3,b9,b5,0.47702609189767137
Normal,6,4,b9,b6,-0.4770260918976711
Normal,6,5,b9,b8,-0.08481387382871622
Normal,6,6,b9,b9,1.0
Normal,6,7,b9,b10,-0.7825782621247926
Normal,7,0,b10,b0,0.28315426169255137
Normal,7,1,b10,b1,-0.283154261692551
Normal,7,2,b10,b4,-0.34111910358645053
Normal,7,3,b10,b5,-0.34111910358645114
Normal,7,4,b10,b6,0.34111910358645103
Normal,7,5,b10,b8,-0.5539355508946908
Normal,7,6,b10,b9,-0.7825782621247926
Normal,7,7,b10,b10,0.9999999999999998
Right,0,0,b0,b0,1.0
Right,0,1,b0,b1,-1.0
Right,0,2,b0,b4,-0.6301846562420866
Right,0,3,b0,b5,-0.6301846562420865
Right,0,4,b0,b6,0.6301846562420862
Right,0,5,b0,b8,-0.7565515599165207
Right,0,6,b0,b9,-0.21081169202561253
Right,0,7,b0,b10,0.7533082009134726
Right,1,0,b1,b0,-1.0
Right,1,1,b1,b1,1.0
Right,1,2,b1,b4,0.6301846562420865
Right,1,3,b1,b5,0.6301846562420864
Right,1,4,b1,b6,-0.6301846562420859
Right,1,5,b1,b8,0.7565515599165209
Right,1,6,b1,b9,0.2108116920256128
Right,1,7,b1,b10,-0.7533082009134728
Right,2,0,b4,b0,-0.6301846562420867
Right,2,1,b4,b1,0.6301846562420865
Right,2,2,b4,b4,0.9999999999999999
Right,2,3,b4,b5,0.9999999999999998
Right,2,4,b4,b6,-0.9999999999999997
Right,2,5,b4,b8,0.5620300910295654
Right,2,6,b4,b9,-0.03168744341723059
Right,2,7,b4,b10,-0.4970107021020847
Right,3,0,b5,b0,-0.6301846562420865
Right,3,1,b5,b1,0.6301846562420864
Right,3,2,b5,b4,0.9999999999999997
Right,3,3,b5,b5,0.9999999999999999
Right,3,4,b5,b6,-0.9999999999999996
Right,3,5,b5,b8,0.5620300910295645
Right,3,6,b5,b9,-0.031687443417231446
Right,3,7,b5,b10,-0.49701070210208376
Right,4,0,b6,b0,0.6301846562420862
Right,4,1,b6,b1,-0.630184656242086
Right,4,2,b6,b4,-0.9999999999999997
Right,4,3,b6,b5,-0.9999999999999996
Right,4,4,b6,b6,1.0
Right,4,5,b6,b8,-0.5620300910295644
Right,4,6,b6,b9,0.031687443417231446
Right,4,7,b6,b10,0.49701070210208376
Right,5,0,b8,b0,-0.7565515599165207
Right,5,1,b8,b1,0.7565515599165209
Right,5,2,b8,b4,0.5620300910295654
Right,5,3,b8,b5,0.5620300910295645
Right,5,4,b8,b6,-0.5620300910295644
Right,5,5,b8,b8,1.0
Right,5,6,b8,b9,0.12308837260982679
Right,5,7,b8,b10,-0.9439881489544126
Right,6,0,b9,b0,-0.21081169202561253
Right,6,1,b9,b1,0.2108116920256128
Right,6,2,b9,b4,-0.03168744341723059
Right,6,3,b9,b5,-0.031687443417231446
Right,6,4,b9,b6,0.03168744341723145
Right,6,5,b9,b8,0.1230883726098268
Right,6,6,b9,b9,1.0
Right,6,7,b9,b10,-0.4436640623827719
Right,7,0,b10,b0,0.7533082009134726
Right,7,1,b10,b1,-0.7533082009134728
Right,7,2,b10,b4,-0.4970107021020847
Right,7,3,b10,b5,-0.49701070210208376
Right,7,4,b10,b6,0.49701070210208376
Right,7,5,b10,b8,-0.9439881489544125
Right,7,6,b10,b9,-0.44366406238277195
Right,7,7,b10,b10,1.0
