dataset_name,basis_i,basis_j,basis_i_name,basis_j_name,corr
IMR,0,0,b0,b0,0.9999999999999998
IMR,0,1,b0,b1,0.999999999999991
IMR,0,2,b0,b4,-0.45057950941745856
IMR,0,3,b0,b5,0.45057950941745667
IMR,0,4,b0,b6,-0.4505795094174581
IMR,0,5,b0,b8,-0.08073680098825277
IMR,0,6,b0,b9,-0.03357728868471995
IMR,0,7,b0,b10,0.026055262043995327
IMR,1,0,b1,b0,0.999999999999991
IMR,1,1,b1,b1,0.9999999999999998
IMR,1,2,b1,b4,-0.45057950941745784
IMR,1,3,b1,b5,0.45057950941745734
IMR,1,4,b1,b6,-0.45057950941745706
IMR,1,5,b1,b8,-0.08073680098825303
IMR,1,6,b1,b9,-0.03357728868472002
IMR,1,7,b1,b10,0.02605526204399531
IMR,2,0,b4,b0,-0.45057950941745856
IMR,2,1,b4,b1,-0.4505795094174579
IMR,2,2,b4,b4,0.9999999999999998
IMR,2,3,b4,b5,-1.0
IMR,2,4,b4,b6,0.999999999999999
IMR,2,5,b4,b8,0.13807014178627222
IMR,2,6,b4,b9,0.15869014519143562
IMR,2,7,b4,b10,0.16166995177017038
IMR,3,0,b5,b0,0.4505795094174566
IMR,3,1,b5,b1,0.4505795094174572
IMR,3,2,b5,b4,-1.0
IMR,3,3,b5,b5,0.9999999999999999
IMR,3,4,b5,b6,-0.9999999999999972
IMR,3,5,b5,b8,-0.13807014178627208
IMR,3,6,b5,b9,-0.15869014519143526
IMR,3,7,b5,b10,-0.1616699517701699
IMR,4,0,b6,b0,-0.4505795094174581
IMR,4,1,b6,b1,-0.45057950941745706
IMR,4,2,b6,b4,0.9999999999999989
IMR,4,3,b6,b5,-0.9999999999999972
IMR,4,4,b6,b6,1.0
IMR,4,5,b6,b8,0.13807014178627172
IMR,4,6,b6,b9,0.15869014519143493
IMR,4,7,b6,b10,0.16166995177016988
IMR,5,0,b8,b0,-0.08073680098825277
IMR,5,1,b8,b1,-0.08073680098825302
