score,basis_i,basis_j,basis_i_name,basis_j_name,corr
0,0,0,b0,b0,1.0
0,0,1,b0,b1,1.0
0,0,2,b0,b4,-0.9448841035072477
0,0,3,b0,b5,0.9448841035072476
0,0,4,b0,b6,-0.9448841035072482
0,0,5,b0,b8,-0.007541168790442451
0,0,6,b0,b9,-0.3420493560906393
0,0,7,b0,b10,-0.2623378597969113
0,1,0,b1,b0,1.0
0,1,1,b1,b1,1.0
0,1,2,b1,b4,-0.9448841035072477
0,1,3,b1,b5,0.9448841035072472
0,1,4,b1,b6,-0.9448841035072476
0,1,5,b1,b8,-0.007541168790442834
0,1,6,b1,b9,-0.34204935609063875
0,1,7,b1,b10,-0.2623378597969106
0,2,0,b4,b0,-0.9448841035072477
0,2,1,b4,b1,-0.9448841035072477
0,2,2,b4,b4,1.0
0,2,3,b4,b5,-0.9999999999999999
0,2,4,b4,b6,1.0
0,2,5,b4,b8,0.03422856572275747
0,2,6,b4,b9,0.3775099185892536
0,2,7,b4,b10,0.2919547327340109
0,3,0,b5,b0,0.9448841035072475
0,3,1,b5,b1,0.9448841035072472
0,3,2,b5,b4,-0.9999999999999999
0,3,3,b5,b5,1.0
0,3,4,b5,b6,-0.9999999999999998
0,3,5,b5,b8,-0.0342285657227572
0,3,6,b5,b9,-0.37750991858925437
0,3,7,b5,b10,-0.29195473273401185
0,4,0,b6,b0,-0.9448841035072482
0,4,1,b6,b1,-0.9448841035072476
0,4,2,b6,b4,1.0
0,4,3,b6,b5,-0.9999999999999999
0,4,4,b6,b6,1.0
0,4,5,b6,b8,0.034228565722757266
0,4,6,b6,b9,0.37750991858925403
0,4,7,b6,b10,0.29195473273401135
0,5,0,b8,b0,-0.007541168790442451
0,5,1,b8,b1,-0.0075411687904428345
0,5,2,b8,b4,0.03422856572275747
0,5,3,b8,b5,-0.0342285657227572
0,5,4,b8,b6,0.034228565722757266
0,5,5,b8,b8,1.0
0,5,6,b8,b9,-0.2994910125931693
0,5,7,b8,b10,-0.29668395543355924
0,6,0,b9,b0,-0.3420493560906393
0,6,1,b9,b1,-0.34204935609063875
0,6,2,b9,b4,0.37750991858925353
0,6,3,b9,b5,-0.3775099185892543
0,6,4,b9,b6,0.37750991858925403
0,6,5,b9,b8,-0.29949101259316935
0,6,6,b9,b9,0.9999999999999998
0,6,7,b9,b10,0.8865546195468178
0,7,0,b10,b0,-0.26233785979691127
0,7,1,b10,b1,-0.2623378597969106
0,7,2,b10,b4,0.2919547327340109
0,7,3,b10,b5,-0.29195473273401185
0,7,4,b10,b6,0.29195473273401135
0,7,5,b10,b8,-0.29668395543355924
0,7,6,b10,b9,0.8865546195468177
0,7,7,b10,b10,0.9999999999999998
1,0,0,b0,b0,1.0
1,0,1,b0,b1,1.0
1,0,2,b0,b4,-0.7944103116613356
1,0,3,b0,b5,0.7944103116613376
1,0,4,b0,b6,-0.7944103116613364
1,0,5,b0,b8,0.29415443259600615
1,0,6,b0,b9,0.4023139798585026
1,0,7,b0,b10,0.2884041201762944
1,1,0,b1,b0,1.0
1,1,1,b1,b1,1.0
1,1,2,b1,b4,-0.7944103116613354
1,1,3,b1,b5,0.7944103116613378
1,1,4,b1,b6,-0.794410311661336
1,1,5,b1,b8,0.29415443259600604
1,1,6,b1,b9,0.40231397985850226
1,1,7,b1,b10,0.28840412017629424
1,2,0,b4,b0,-0.7944103116613356
1,2,1,b4,b1,-0.7944103116613355
1,2,2,b4,b4,1.0
1,2,3,b4,b5,-0.9999999999999996
1,2,4,b4,b6,0.9999999999999996
1,2,5,b4,b8,-0.24369802505143187
1,2,6,b4,b9,-0.3655405367647523
1,2,7,b4,b10,-0.10513101206519691
1,3,0,b5,b0,0.7944103116613376
1,3,1,b5,b1,0.7944103116613378
1,3,2,b5,b4,-0.9999999999999997
1,3,3,b5,b5,1.0
1,3,4,b5,b6,-1.0
1,3,5,b5,b8,0.2436980250514317
1,3,6,b5,b9,0.3655405367647545
1,3,7,b5,b10,0.10513101206519868
1,4,0,b6,b0,-0.7944103116613364
1,4,1,b6,b1,-0.7944103116613361
1,4,2,b6,b4,0.9999999999999996
1,4,3,b6,b5,-1.0
1,4,4,b6,b6,1.0
1,4,5,b6,b8,-0.24369802505143126
1,4,6,b6,b9,-0.3655405367647523
1,4,7,b6,b10,-0.1051310120651973
1,5,0,b8,b0,0.2941544325960061
1,5,1,b8,b1,0.29415443259600604
1,5,2,b8,b4,-0.2436980250514319
1,5,3,b8,b5,0.2436980250514317
1,5,4,b8,b6,-0.24369802505143126
1,5,5,b8,b8,1.0
1,5,6,b8,b9,0.8078820120222074
1,5,7,b8,b10,0.29593318708930466
1,6,0,b9,b0,0.4023139798585026
1,6,1,b9,b1,0.4023139798585023
1,6,2,b9,b4,-0.3655405367647523
1,6,3,b9,b5,0.3655405367647545
1,6,4,b9,b6,-0.36554053676475234
1,6,5,b9,b8,0.8078820120222074
1,6,6,b9,b9,1.0
1,6,7,b9,b10,0.29162539384142744
1,7,0,b10,b0,0.2884041201762944
1,7,1,b10,b1,0.28840412017629424
1,7,2,b10,b4,-0.10513101206519693
1,7,3,b10,b5,0.10513101206519869
1,7,4,b10,b6,-0.1051310120651973
1,7,5,b10,b8,0.29593318708930466
1,7,6,b10,b9,0.29162539384142744
1,7,7,b10,b10,1.0
2,0,0,b0,b0,0.9999999999999998
2,0,1,b0,b1,1.0
2,0,2,b0,b4,-0.2732271474122349
2,0,3,b0,b5,0.2732271474122385
2,0,4,b0,b6,-0.27322714741223486
2,0,5,b0,b8,-0.054590757532501956
2,0,6,b0,b9,0.33310870374286494
2,0,7,b0,b10,0.04016446744392126
2,1,0,b1,b0,1.0
2,1,1,b1,b1,1.0
2,1,2,b1,b4,-0.2732271474122334
2,1,3,b1,b5,0.2732271474122384
2,1,4,b1,b6,-0.2732271474122352
2,1,5,b1,b8,-0.054590757532503184
2,1,6,b1,b9,0.3331087037428643
2,1,7,b1,b10,0.040164467443921104
2,2,0,b4,b0,-0.27322714741223497
2,2,1,b4,b1,-0.2732271474122334
2,2,2,b4,b4,1.0
2,2,3,b4,b5,-1.0
2,2,4,b4,b6,1.0
2,2,5,b4,b8,-0.159938078060594
2,2,6,b4,b9,-0.1531744423471356
2,2,7,b4,b10,0.05844391489278292
2,3,0,b5,b0,0.2732271474122385
2,3,1,b5,b1,0.27322714741223836
2,3,2,b5,b4,-1.0
2,3,3,b5,b5,0.9999999999999999
2,3,4,b5,b6,-1.0
2,3,5,b5,b8,0.15993807806059393
2,3,6,b5,b9,0.15317444234713773
2,3,7,b5,b10,-0.058443914892782584
2,4,0,b6,b0,-0.27322714741223486
2,4,1,b6,b1,-0.27322714741223525
2,4,2,b6,b4,1.0
2,4,3,b6,b5,-1.0
2,4,4,b6,b6,1.0
2,4,5,b6,b8,-0.15993807806059504
2,4,6,b6,b9,-0.15317444234713765
2,4,7,b6,b10,0.058443914892782715
2,5,0,b8,b0,-0.054590757532501956
2,5,1,b8,b1,-0.054590757532503184
2,5,2,b8,b4,-0.159938078060594
2,5,3,b8,b5,0.1599380780605939
2,5,4,b8,b6,-0.15993807806059504
2,5,5,b8,b8,1.0
2,5,6,b8,b9,0.6441265138881592
2,5,7,b8,b10,0.07763911853999901
2,6,0,b9,b0,0.333108703742865
2,6,1,b9,b1,0.3331087037428643
2,6,2,b9,b4,-0.1531744423471356
2,6,3,b9,b5,0.15317444234713773
2,6,4,b9,b6,-0.15317444234713765
2,6,5,b9,b8,0.6441265138881593
2,6,6,b9,b9,1.0
2,6,7,b9,b10,0.08769031435959379
2,7,0,b10,b0,0.04016446744392126
2,7,1,b10,b1,0.040164467443921104
2,7,2,b10,b4,0.05844391489278292
2,7,3,b10,b5,-0.05844391489278259
2,7,4,b10,b6,0.05844391489278271
2,7,5,b10,b8,0.07763911853999901
2,7,6,b10,b9,0.08769031435959379
2,7,7,b10,b10,1.0
