dataset_name,basis_i,basis_j,basis_i_name,basis_j_name,corr
IMR,0,0,b0,b0,1.0
IMR,0,1,b0,b1,-1.0
IMR,0,2,b0,b4,-0.4505795094174629
IMR,0,3,b0,b5,-0.45057950941745967
IMR,0,4,b0,b6,0.45057950941746194
IMR,0,5,b0,b8,-0.03352706897322385
IMR,0,6,b0,b9,-0.0021288718133113363
IMR,0,7,b0,b10,0.022254361674227115
IMR,1,0,b1,b0,-1.0
IMR,1,1,b1,b1,0.9999999999999999
IMR,1,2,b1,b4,0.45057950941746105
IMR,1,3,b1,b5,0.4505795094174572
IMR,1,4,b1,b6,-0.4505795094174568
IMR,1,5,b1,b8,0.033527068973223856
IMR,1,6,b1,b9,0.0021288718133113155
IMR,1,7,b1,b10,-0.022254361674227143
IMR,2,0,b4,b0,-0.45057950941746283
IMR,2,1,b4,b1,0.450579509417461
IMR,2,2,b4,b4,1.0
IMR,2,3,b4,b5,0.9999999999999979
IMR,2,4,b4,b6,-0.9999999999999963
IMR,2,5,b4,b8,0.07213495185183093
IMR,2,6,b4,b9,0.19606892860659467
IMR,2,7,b4,b10,-0.1666126100938406
IMR,3,0,b5,b0,-0.4505795094174596
IMR,3,1,b5,b1,0.4505795094174572
IMR,3,2,b5,b4,0.999999999999998
IMR,3,3,b5,b5,0.9999999999999999
IMR,3,4,b5,b6,-0.9999999999999998
IMR,3,5,b5,b8,0.07213495185183101
IMR,3,6,b5,b9,0.1960689286065949
IMR,3,7,b5,b10,-0.1666126100938405
IMR,4,0,b6,b0,0.45057950941746194
IMR,4,1,b6,b1,-0.45057950941745684
IMR,4,2,b6,b4,-0.9999999999999963
IMR,4,3,b6,b5,-0.9999999999999998
IMR,4,4,b6,b6,1.0
IMR,4,5,b6,b8,-0.07213495185183089
IMR,4,6,b6,b9,-0.19606892860659475
IMR,4,7,b6,b10,0.16661261009384032
IMR,5,0,b8,b0,-0.03352706897322385
IMR,5,1,b8,b1,0.03352706897322386
IMR,5,2,b8,b4,0.07213495185183093
IMR,5,3,b8,b5,0.07213495185183103
IMR,5,4,b8,b6,-0.07213495185183089
IMR,5,5,b8,b8,1.0
IMR,5,6,b8,b9,0.29144145699868934
IMR,5,7,b8,b10,-0.8051087142557766
IMR,6,0,b9,b0,-0.002128871813311336
IMR,6,1,b9,b1,0.002128871813311316
IMR,6,2,b9,b4,0.19606892860659467
IMR,6,3,b9,b5,0.1960689286065949
IMR,6,4,b9,b6,-0.19606892860659478
IMR,6,5,b9,b8,0.2914414569986894
IMR,6,6,b9,b9,0.9999999999999998
IMR,6,7,b9,b10,-0.802020880929854
IMR,7,0,b10,b0,0.022254361674227112
IMR,7,1,b10,b1,-0.022254361674227147
IMR,7,2,b10,b4,-0.1666126100938406
IMR,7,3,b10,b5,-0.16661261009384054
IMR,7,4,b10,b6,0.16661261009384032
IMR,7,5,b10,b8,-0.8051087142557766
IMR,7,6,b10,b9,-0.8020208809298539
IMR,7,7,b10,b10,1.0
TT,0,0,b0,b0,1.0
TT,0,1,b0,b1,-1.0
TT,0,2,b0,b4,-0.7283132094201291
TT,0,3,b0,b5,-0.728313209420132
TT,0,4,b0,b6,0.7283132094201317
TT,0,5,b0,b8,-0.19271677677252178
TT,0,6,b0,b9,0.09537891051212749
TT,0,7,b0,b10,-0.02778330461305044
TT,1,0,b1,b0,-1.0
TT,1,1,b1,b1,1.0
TT,1,2,b1,b4,0.7283132094201288
TT,1,3,b1,b5,0.7283132094201318
TT,1,4,b1,b6,-0.7283132094201317
TT,1,5,b1,b8,0.19271677677252078
TT,1,6,b1,b9,-0.09537891051212764
TT,1,7,b1,b10,0.027783304613050976
TT,2,0,b4,b0,-0.728313209420129
TT,2,1,b4,b1,0.7283132094201289
TT,2,2,b4,b4,1.0
TT,2,3,b4,b5,1.0
TT,2,4,b4,b6,-0.9999999999999994
TT,2,5,b4,b8,0.12413222790030587
TT,2,6,b4,b9,-0.13055910849737234
TT,2,7,b4,b10,0.08115939377998732
TT,3,0,b5,b0,-0.7283132094201319
TT,3,1,b5,b1,0.7283132094201319
TT,3,2,b5,b4,1.0
TT,3,3,b5,b5,0.9999999999999998
TT,3,4,b5,b6,-1.0
TT,3,5,b5,b8,0.12413222790030708
TT,3,6,b5,b9,-0.13055910849737315
TT,3,7,b5,b10,0.08115939377998789
TT,4,0,b6,b0,0.7283132094201317
TT,4,1,b6,b1,-0.7283132094201316
TT,4,2,b6,b4,-0.9999999999999996
TT,4,3,b6,b5,-1.0
TT,4,4,b6,b6,0.9999999999999998
TT,4,5,b6,b8,-0.124132227900307
TT,4,6,b6,b9,0.13055910849737312
TT,4,7,b6,b10,-0.08115939377998795
TT,5,0,b8,b0,-0.19271677677252178
TT,5,1,b8,b1,0.19271677677252078
TT,5,2,b8,b4,0.12413222790030587
TT,5,3,b8,b5,0.12413222790030709
TT,5,4,b8,b6,-0.124132227900307
TT,5,5,b8,b8,1.0
TT,5,6,b8,b9,0.11856526338733764
TT,5,7,b8,b10,-0.4173061000956319
TT,6,0,b9,b0,0.09537891051212749
TT,6,1,b9,b1,-0.09537891051212766
TT,6,2,b9,b4,-0.13055910849737232
TT,6,3,b9,b5,-0.13055910849737315
TT,6,4,b9,b6,0.13055910849737312
TT,6,5,b9,b8,0.11856526338733765
TT,6,6,b9,b9,1.0
TT,6,7,b9,b10,-0.9518337969159629
TT,7,0,b10,b0,-0.02778330461305044
TT,7,1,b10,b1,0.027783304613050973
TT,7,2,b10,b4,0.08115939377998731
TT,7,3,b10,b5,0.08115939377998789
TT,7,4,b10,b6,-0.08115939377998795
TT,7,5,b10,b8,-0.4173061000956319
TT,7,6,b10,b9,-0.951833796915963
TT,7,7,b10,b10,1.0
