task_name,num_groups,num_features,num_classes,accuracy,balanced_accuracy,macro_f1
dataset_from_coeff,293,1,2,0.7815699658703071,0.5076923076923077,0.4536130536130536
dataset_from_free_rep,293,32,2,0.8054607508532423,0.6935222672064778,0.7031724873367102
dataset_from_private_rep,293,32,2,0.8907849829351536,0.8253373819163293,0.8363357073034492
dataset_from_side_rep,293,3,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_usage,293,3,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_usage_coeff,293,4,2,0.7508532423208191,0.4989541160593792,0.4659825730906549
side_from_coeff,293,1,3,0.9283276450511946,0.9247802018886356,0.9271679030868829
side_from_free_rep,293,32,3,0.4709897610921502,0.4372674975084614,0.3737054143443032
side_from_side_rep,293,3,3,0.931740614334471,0.9287173263076878,0.9300872788139646
side_from_usage,293,3,3,0.9283276450511946,0.9283105668647836,0.9276011719278366
side_from_usage_coeff,293,4,3,0.9283276450511946,0.9283105668647836,0.9272054640660654
