task_name,num_groups,num_features,num_classes,accuracy,balanced_accuracy,macro_f1
dataset_from_coeff,293,1,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_free_rep,293,32,2,0.7986348122866894,0.6451417004048583,0.662712426589663
dataset_from_private_rep,293,32,2,0.8839590443686007,0.8099527665317139,0.8240178066704352
dataset_from_side_rep,293,3,2,0.7713310580204779,0.5286099865047234,0.5098744163982722
dataset_from_usage,293,3,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_usage_coeff,293,4,2,0.7508532423208191,0.4879554655870445,0.44190476190476186
side_from_coeff,293,1,3,0.9351535836177475,0.9314352687846664,0.933911221776896
side_from_free_rep,293,32,3,0.4709897610921502,0.43986374106856035,0.39658859963993515
side_from_side_rep,293,3,3,0.9283276450511946,0.9247012620506596,0.9267017025118615
side_from_usage,293,3,3,0.9283276450511946,0.9289596277548084,0.928786205203731
side_from_usage_coeff,293,4,3,0.9419795221843004,0.9416996404948211,0.9416051214127067
