dataset_name,dataset_label,subject,group_id,group_frame_idx,window_idx,prev_window_idx,side_label,side_label_name,basis_global_index,basis_name,branch,level_index,level_name,local_basis_index,raw_coeff_column,usage,raw_coeff,activation,decoded_index_local,decoded_index_global,argmax_usage_index_local,argmax_usage_index_global,is_decoded_basis,is_argmax_usage_basis,start_frame,end_frame,side,score,label_5class,matrix_size,deleted_x,deleted_y
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,2,free_b2,free,1.0,free_level1,0,free_coeff_l1,0.2977861762046814,0.8571876883506775,0.8405078053474426,4.0,6.0,4,6,0.0,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.8571876883506775,0.08331374824047089,4.0,6.0,4,6,0.0,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.8571876883506775,0.0,4.0,6.0,4,6,0.0,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.8571876883506775,-0.11049863696098328,4.0,6.0,4,6,0.0,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.3161512613296509,0.8571876883506775,1.6676093339920044,4.0,6.0,4,6,1.0,1,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.01718207634985447,0.8571876883506775,0.09063064306974411,4.0,6.0,4,6,0.0,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,8,side_b0,side,,side,0,side_coeff,0.5413331389427185,5.280597686767578,10.614418029785156,,,0,8,,1,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,9,side_b1,side,,side,1,side_coeff,0.343185156583786,5.280597686767578,5.219204425811768,,,0,8,,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,0,2,1,1,Normal,10,side_b2,side,,side,2,side_coeff,0.11548172682523727,5.280597686767578,0.008170459419488907,,,0,8,,0,40,60,-1,0,2,341,0,1
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,2,free_b2,free,1.0,free_level1,0,free_coeff_l1,0.2977861762046814,0.8571876883506775,0.8405078053474426,4.0,6.0,4,6,0.0,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,3,free_b3,free,1.0,free_level1,1,free_coeff_l1,0.08003482967615128,0.8571876883506775,0.08331374824047089,4.0,6.0,4,6,0.0,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,4,free_b4,free,1.0,free_level1,2,free_coeff_l1,0.0,0.8571876883506775,0.0,4.0,6.0,4,6,0.0,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,5,free_b5,free,1.0,free_level1,3,free_coeff_l1,0.28884565830230713,0.8571876883506775,-0.11049863696098328,4.0,6.0,4,6,0.0,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,6,free_b6,free,1.0,free_level1,4,free_coeff_l1,0.3161512613296509,0.8571876883506775,1.6676093339920044,4.0,6.0,4,6,1.0,1,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,7,free_b7,free,1.0,free_level1,5,free_coeff_l1,0.01718207634985447,0.8571876883506775,0.09063064306974411,4.0,6.0,4,6,0.0,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,8,side_b0,side,,side,0,side_coeff,0.5072258114814758,4.460986614227295,8.306707382202148,,,0,8,,1,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,9,side_b1,side,,side,1,side_coeff,0.3761373460292816,4.460986614227295,5.053897380828857,,,0,8,,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,1,3,2,1,Normal,10,side_b2,side,,side,2,side_coeff,0.11663683503866196,4.460986614227295,0.022354159504175186,,,0,8,,0,60,80,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,0,free_b0,free,0.0,free_level0,0,free_coeff_l0,0.21842515468597412,0.13062308728694916,0.5451751351356506,1.0,1.0,1,1,0.0,0,100,120,-1,0,2,341,0,0
IMR,0,00102,IMR:00102:x:group000,2,5,4,1,Normal,1,free_b1,free,0.0,free_level0,1,free_coeff_l0,0.7815747857093811,0.13062308728694916,-0.1533060073852539,1.0,1.0,1,1,1.0,1,100,120,-1,0,2,341,0,0
