task_name,fold,num_train_groups,num_test_groups,accuracy,balanced_accuracy,macro_f1
severity_from_level2_usage,0,234,59,0.6610169491525424,0.5638820638820639,0.5317460317460317
severity_from_level2_usage,1,234,59,0.6779661016949152,0.5958230958230959,0.5843529847979236
severity_from_level2_usage,2,234,59,0.6440677966101694,0.5591787439613527,0.5199535063928709
severity_from_level2_usage,3,235,58,0.6896551724137931,0.6085858585858586,0.5953488372093023
severity_from_level2_usage,4,235,58,0.6379310344827587,0.5227272727272727,0.4305750350631136
severity_from_level2_coeff,0,234,59,0.6271186440677966,0.5,0.38541666666666663
severity_from_level2_coeff,1,234,59,0.6271186440677966,0.5,0.38541666666666663
severity_from_level2_coeff,2,234,59,0.6101694915254238,0.5,0.37894736842105264
severity_from_level2_coeff,3,235,58,0.6206896551724138,0.5,0.3829787234042554
severity_from_level2_coeff,4,235,58,0.6206896551724138,0.5,0.3829787234042554
severity_from_level2_usage_coeff,0,234,59,0.6610169491525424,0.5638820638820639,0.5317460317460317
severity_from_level2_usage_coeff,1,234,59,0.6779661016949152,0.5958230958230959,0.5843529847979236
severity_from_level2_usage_coeff,2,234,59,0.6440677966101694,0.5591787439613527,0.5199535063928709
severity_from_level2_usage_coeff,3,235,58,0.6896551724137931,0.6085858585858586,0.5953488372093023
severity_from_level2_usage_coeff,4,235,58,0.6379310344827587,0.5227272727272727,0.4305750350631136
severity_from_level2_rep,0,234,59,0.6610169491525424,0.5638820638820639,0.5317460317460317
severity_from_level2_rep,1,234,59,0.6779661016949152,0.5958230958230959,0.5843529847979236
severity_from_level2_rep,2,234,59,0.6440677966101694,0.5591787439613527,0.5199535063928709
severity_from_level2_rep,3,235,58,0.6896551724137931,0.6085858585858586,0.5953488372093023
severity_from_level2_rep,4,235,58,0.6379310344827587,0.5227272727272727,0.4305750350631136
severity_from_free_rep,0,234,59,0.6610169491525424,0.5546683046683047,0.5066889632107023
severity_from_free_rep,1,234,59,0.6610169491525424,0.5823095823095823,0.5712209302325582
severity_from_free_rep,2,234,59,0.6271186440677966,0.5295893719806763,0.45735785953177255
severity_from_free_rep,3,235,58,0.6206896551724138,0.5441919191919192,0.5252976190476191
severity_from_free_rep,4,235,58,0.6896551724137931,0.5997474747474747,0.5762987012987013
side_from_level2_usage,0,234,59,0.3898305084745763,0.37076648841354726,0.28663135933237044
side_from_level2_usage,1,234,59,0.4406779661016949,0.39826839826839827,0.31547619047619047
side_from_level2_usage,2,234,59,0.5084745762711864,0.43478260869565216,0.37842190016103056
side_from_level2_usage,3,235,58,0.3620689655172414,0.3354978354978355,0.23843744241754194
side_from_level2_usage,4,235,58,0.39655172413793105,0.3383838383838384,0.28881145954316684
side_from_level2_rep,0,234,59,0.3898305084745763,0.37076648841354726,0.28663135933237044
side_from_level2_rep,1,234,59,0.4406779661016949,0.39826839826839827,0.31547619047619047
side_from_level2_rep,2,234,59,0.5084745762711864,0.43478260869565216,0.37842190016103056
side_from_level2_rep,3,235,58,0.3620689655172414,0.3354978354978355,0.23843744241754194
side_from_level2_rep,4,235,58,0.39655172413793105,0.3383838383838384,0.28881145954316684
dataset_from_level2_usage,0,234,59,0.8983050847457628,0.7692307692307692,0.8193877551020408
dataset_from_level2_usage,1,234,59,0.9152542372881356,0.8076923076923077,0.8551791850760924
dataset_from_level2_usage,2,234,59,0.864406779661017,0.7474916387959867,0.7765151515151515
dataset_from_level2_usage,3,235,58,0.8793103448275862,0.8128205128205128,0.8215384615384616
dataset_from_level2_usage,4,235,58,0.8275862068965517,0.6153846153846154,0.6375
dataset_from_level2_rep,0,234,59,0.8983050847457628,0.7692307692307692,0.8193877551020408
dataset_from_level2_rep,1,234,59,0.9152542372881356,0.8076923076923077,0.8551791850760924
dataset_from_level2_rep,2,234,59,0.864406779661017,0.7474916387959867,0.7765151515151515
dataset_from_level2_rep,3,235,58,0.8793103448275862,0.8128205128205128,0.8215384615384616
dataset_from_level2_rep,4,235,58,0.8275862068965517,0.6153846153846154,0.6375
