subject,fold,num_groups,stratify_label
00228,0,1,0|d0
00229,0,1,0|d0
00241,0,1,0|d0
00247,0,1,0|d0
00254,0,1,1|d0
00255,0,1,1|d0
00257,0,1,0|d0
00265,0,1,1|d0
00266,0,1,1|d0
00275,0,1,0|d0
00287,0,1,1|d0
00290,0,1,1|d0
00291,0,1,1|d0
00293,0,1,1|d0
00301,0,1,1|d0
00302,0,1,1|d0
00303,0,1,1|d0
00305,0,1,1|d0
00306,0,1,1|d0
00307,0,1,1|d0
00315,0,1,1|d0
00316,0,1,1|d0
00318,0,1,1|d0
00326,0,1,1|d0
00329,0,1,1|d0
00336,0,1,1|d0
00338,0,1,1|d0
00346,0,1,1|d0
00349,0,1,0|d0
00351,0,1,0|d0
00355,0,1,0|d0
00361,0,1,0|d0
00370,0,1,1|d0
00398,0,1,0|d0
00400,0,1,0|d0
00402,0,1,1|d0
00411,0,1,0|d0
00418,0,1,1|d0
00515,0,1,1|d0
00522,0,1,1|d0
00523,0,1,1|d0
00529,0,1,1|d0
00530,0,1,1|d0
00531,0,1,0|d0
00533,0,1,0|d0
00539,0,1,1|d0
806694,0,1,0|d1
845238,0,2,1|d1
847666,0,2,0|d1
851108,0,1,1|d1
851367,0,3,1|d1
859913,0,2,0|d1
860662,0,1,0|d1
861670,0,1,0|d1
00231,1,1,0|d0
00233,1,1,0|d0
00234,1,1,0|d0
00249,1,1,0|d0
00262,1,1,1|d0
00268,1,1,1|d0
00269,1,1,1|d0
00270,1,1,1|d0
00272,1,1,1|d0
00276,1,1,1|d0
00277,1,1,1|d0
00281,1,1,1|d0
00283,1,1,1|d0
00310,1,1,1|d0
00311,1,1,1|d0
00312,1,1,1|d0
00317,1,1,1|d0
00319,1,1,1|d0
00321,1,1,1|d0
00324,1,1,1|d0
00328,1,1,1|d0
00331,1,1,1|d0
00332,1,1,1|d0
00333,1,1,1|d0
00334,1,1,1|d0
00340,1,1,1|d0
00343,1,1,1|d0
00350,1,1,0|d0
00352,1,1,0|d0
00356,1,1,0|d0
00357,1,1,0|d0
00363,1,1,1|d0
00373,1,1,1|d0
00378,1,1,0|d0
00381,1,1,0|d0
00388,1,1,1|d0
00399,1,1,0|d0
00413,1,1,0|d0
00419,1,1,1|d0
00511,1,1,1|d0
00519,1,1,1|d0
00526,1,1,1|d0
00528,1,1,1|d0
00534,1,1,0|d0
00548,1,1,0|d0
00550,1,1,0|d0
581892,1,3,1|d1
707357,1,1,0|d1
845372,1,1,1|d1
846900,1,1,1|d1
850496,1,2,0|d1
850823,1,1,0|d1
851013,1,1,0|d1
861404,1,2,0|d1
861636,1,1,1|d1
00102,2,3,0|d0
00238,2,1,0|d0
00240,2,1,0|d0
00242,2,1,0|d0
00248,2,1,0|d0
00253,2,1,1|d0
00256,2,1,0|d0
00259,2,1,0|d0
00271,2,1,0|d0
00273,2,1,1|d0
00278,2,1,1|d0
00279,2,1,1|d0
00282,2,1,1|d0
00285,2,1,1|d0
00288,2,1,1|d0
00296,2,1,1|d0
00298,2,1,1|d0
00309,2,1,1|d0
00314,2,1,1|d0
00323,2,1,1|d0
00325,2,1,1|d0
00327,2,1,1|d0
00330,2,1,1|d0
00339,2,1,1|d0
00344,2,1,1|d0
00347,2,1,1|d0
00353,2,1,0|d0
00354,2,1,0|d0
00358,2,1,1|d0
00364,2,1,1|d0
00375,2,1,1|d0
00382,2,1,1|d0
00384,2,1,0|d0
00385,2,1,1|d0
00393,2,1,1|d0
00395,2,1,1|d0
00401,2,1,0|d0
00407,2,1,1|d0
00410,2,1,1|d0
00417,2,1,1|d0
00512,2,1,1|d0
00518,2,1,1|d0
00521,2,1,1|d0
00552,2,1,0|d0
844697,2,1,0|d1
845492,2,2,1|d1
846184,2,2,0|d1
847397,2,2,1|d1
850830,2,1,1|d1
851519,2,4,0|d1
851843,2,1,0|d1
00212,3,2,1|d0
00235,3,1,0|d0
00236,3,1,0|d0
00239,3,1,0|d0
00243,3,1,0|d0
00245,3,1,0|d0
00250,3,1,0|d0
00251,3,1,0|d0
00252,3,1,0|d0
00260,3,1,1|d0
00261,3,1,1|d0
00263,3,1,1|d0
00267,3,1,0|d0
00274,3,1,1|d0
00280,3,1,1|d0
00284,3,1,1|d0
00289,3,1,1|d0
00292,3,1,1|d0
00295,3,1,1|d0
00313,3,1,1|d0
00320,3,1,1|d0
00322,3,1,1|d0
00341,3,1,1|d0
00342,3,1,1|d0
00348,3,1,0|d0
00365,3,1,1|d0
