task_name,fold,num_train_groups,num_test_groups,accuracy,balanced_accuracy,macro_f1
side_from_side_rep,0,234,59,0.8813559322033898,0.879055258467023,0.8789892278264371
side_from_side_rep,1,235,58,0.9310344827586207,0.9282446311858076,0.9298208566501249
side_from_side_rep,2,235,58,0.9482758620689655,0.9473484848484848,0.945278365045807
side_from_side_rep,3,234,59,0.9322033898305084,0.9215686274509803,0.9249999999999999
side_from_side_rep,4,234,59,0.9152542372881356,0.9063405797101449,0.9122647978336413
side_from_free_rep,0,234,59,0.4067796610169492,0.38181818181818183,0.3168627450980392
side_from_free_rep,1,235,58,0.43103448275862066,0.4039682539682539,0.3307909604519774
side_from_free_rep,2,235,58,0.3620689655172414,0.3333333333333333,0.27991452991452986
side_from_free_rep,3,234,59,0.3728813559322034,0.3493516399694889,0.2899921197793538
side_from_free_rep,4,234,59,0.4576271186440678,0.41739130434782606,0.3519445514054678
dataset_from_side_rep,0,234,59,0.8305084745762712,0.6429765886287626,0.6722222222222223
dataset_from_side_rep,1,235,58,0.8448275862068966,0.6811965811965812,0.7167661421595225
dataset_from_side_rep,2,235,58,0.8103448275862069,0.6042735042735042,0.6209150326797386
dataset_from_side_rep,3,234,59,0.8305084745762712,0.6429765886287626,0.6722222222222223
dataset_from_side_rep,4,234,59,0.7966101694915254,0.6764214046822743,0.6861702127659575
dataset_from_free_rep,0,234,59,0.7457627118644068,0.5886287625418061,0.5949656750572083
dataset_from_free_rep,1,235,58,0.8620689655172413,0.7196581196581197,0.7583333333333333
dataset_from_free_rep,2,235,58,0.8448275862068966,0.6538461538461539,0.6898395721925134
dataset_from_free_rep,3,234,59,0.7627118644067796,0.6270903010033445,0.6338652482269503
dataset_from_free_rep,4,234,59,0.847457627118644,0.7090301003344481,0.7393225331369662
dataset_from_private_rep,0,234,59,0.8305084745762712,0.7533444816053512,0.7533444816053512
dataset_from_private_rep,1,235,58,0.8620689655172413,0.829059829059829,0.8116883116883117
dataset_from_private_rep,2,235,58,0.9482758620689655,0.8846153846153846,0.9186535764375877
dataset_from_private_rep,3,234,59,0.8813559322033898,0.7859531772575251,0.8109839816933639
dataset_from_private_rep,4,234,59,0.9152542372881356,0.8904682274247492,0.8799348799348798
side_from_usage,0,234,59,0.8983050847457628,0.8986631016042782,0.8976343799005706
side_from_usage,1,235,58,0.9310344827586207,0.9311858076563958,0.9291918560211242
side_from_usage,2,235,58,0.9310344827586207,0.9348484848484849,0.9281839979514398
side_from_usage,3,234,59,0.9322033898305084,0.9215686274509803,0.9266003837432408
side_from_usage,4,234,59,0.9322033898305084,0.9355072463768116,0.9308116839413111
side_from_coeff,0,234,59,0.8983050847457628,0.8957219251336898,0.8989588667008022
side_from_coeff,1,235,58,0.9310344827586207,0.9290382819794584,0.9321969696969697
side_from_coeff,2,235,58,0.9482758620689655,0.9488636363636364,0.9474206349206349
side_from_coeff,3,234,59,0.9322033898305084,0.9215686274509803,0.9240731130715562
side_from_coeff,4,234,59,0.9322033898305084,0.9271739130434783,0.9315389924085576
side_from_usage_coeff,0,234,59,0.8983050847457628,0.8986631016042782,0.8976343799005706
side_from_usage_coeff,1,235,58,0.9482758620689655,0.9478524743230624,0.9466318234610918
side_from_usage_coeff,2,235,58,0.9655172413793104,0.9681818181818181,0.9640932103312405
side_from_usage_coeff,3,234,59,0.9322033898305084,0.9215686274509803,0.9266003837432408
side_from_usage_coeff,4,234,59,0.9491525423728814,0.9521739130434783,0.9497652106347759
dataset_from_usage,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_usage,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,1,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,2,235,58,0.7758620689655172,0.5,0.4368932038834951
dataset_from_coeff,3,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,0,234,59,0.7796610169491526,0.5,0.4380952380952381
dataset_from_usage_coeff,1,235,58,0.7413793103448276,0.5324786324786325,0.5279435702658708
dataset_from_usage_coeff,2,235,58,0.7241379310344828,0.4666666666666667,0.42
dataset_from_usage_coeff,3,234,59,0.6779661016949152,0.43478260869565216,0.40404040404040403
dataset_from_usage_coeff,4,234,59,0.7796610169491526,0.5,0.4380952380952381
