task_name,num_groups,num_features,num_classes,accuracy,balanced_accuracy,macro_f1
dataset_from_coeff,293,1,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_free_rep,293,32,2,0.8122866894197952,0.6594129554655871,0.6809226809226809
dataset_from_private_rep,293,32,2,0.8873720136518771,0.8286437246963563,0.8341310277391796
dataset_from_side_rep,293,3,2,0.8225255972696246,0.649493927125506,0.6761054421768709
dataset_from_usage,293,3,2,0.7781569965870307,0.5,0.43761996161228406
dataset_from_usage_coeff,293,4,2,0.7406143344709898,0.48687584345479085,0.449901185770751
side_from_coeff,293,1,3,0.9283276450511946,0.9244162015246352,0.9271085461619076
side_from_free_rep,293,32,3,0.4061433447098976,0.37664937664937664,0.3145659242313517
side_from_side_rep,293,3,3,0.9215017064846417,0.9163051331726031,0.918058863282082
side_from_usage,293,3,3,0.9249146757679181,0.9235665018797549,0.9226328815170538
side_from_usage_coeff,293,4,3,0.9385665529010239,0.9370345153477683,0.9370345153477683
