i,j,point_id_i,point_id_j,value
0,1,0,1,0.023999452590942383
0,2,0,2,0.05999958515167236
0,3,0,3,0.08399951457977295
0,4,0,4,0.0959995687007904
0,5,0,5,0.11999964714050293
0,6,0,6,0.14399957656860352
0,7,0,7,0.1679995059967041
0,8,0,8,0.17999935150146484
0,9,0,9,0.15599942207336426
0,10,0,10,0.13199949264526367
0,11,0,11,0.10799959301948547
0,12,0,12,0.07199954986572266
0,13,0,13,0.04799950122833252
0,14,0,14,0.03599953651428223
0,15,0,15,0.01199960708618164
1,2,1,2,0.03600013256072998
1,3,1,3,0.060000061988830566
1,4,1,4,0.07200011610984802
1,5,1,5,0.09600019454956055
1,6,1,6,0.12000012397766113
1,7,1,7,0.14400005340576172
1,8,1,8,0.15599989891052246
1,9,1,9,0.13199996948242188
1,10,1,10,0.10800004005432129
1,11,1,11,0.08400014042854309
1,12,1,12,0.04800009727478027
1,13,1,13,0.024000048637390137
1,14,1,14,0.012000083923339844
1,15,1,15,-0.011999845504760742
2,3,2,3,0.023999929428100586
2,4,2,4,0.03599998354911804
2,5,2,5,0.060000061988830566
2,6,2,6,0.08399999141693115
2,7,2,7,0.10799992084503174
2,8,2,8,0.11999976634979248
2,9,2,9,0.0959998369216919
2,10,2,10,0.07199990749359131
2,11,2,11,0.04800000786781311
2,12,2,12,0.011999964714050293
2,13,2,13,-0.012000083923339844
2,14,2,14,-0.024000048637390137
2,15,2,15,-0.04799997806549072
3,4,3,4,0.012000054121017456
3,5,3,5,0.03600013256072998
3,6,3,6,0.060000061988830566
3,7,3,7,0.08399999141693115
3,8,3,8,0.0959998369216919
3,9,3,9,0.07199990749359131
3,10,3,10,0.04799997806549072
3,11,3,11,0.024000078439712524
3,12,3,12,-0.011999964714050293
3,13,3,13,-0.03600001335144043
3,14,3,14,-0.04799997806549072
3,15,3,15,-0.07199990749359131
4,5,4,5,0.024000078439712524
4,6,4,6,0.04800000786781311
4,7,4,7,0.0719999372959137
4,8,4,8,0.08399978280067444
4,9,4,9,0.05999985337257385
4,10,4,10,0.03599992394447327
4,11,4,11,0.012000024318695068
4,12,4,12,-0.02400001883506775
4,13,4,13,-0.048000067472457886
4,14,4,14,-0.06000003218650818
4,15,4,15,-0.08399996161460876
5,6,5,6,0.023999929428100586
5,7,5,7,0.04799985885620117
5,8,5,8,0.059999704360961914
5,9,5,9,0.03599977493286133
5,10,5,10,0.011999845504760742
5,11,5,11,-0.012000054121017456
5,12,5,12,-0.04800009727478027
5,13,5,13,-0.07200014591217041
5,14,5,14,-0.0840001106262207
5,15,5,15,-0.10800004005432129
6,7,6,7,0.023999929428100586
6,8,6,8,0.03599977493286133
6,9,6,9,0.011999845504760742
6,10,6,10,-0.012000083923339844
6,11,6,11,-0.03599998354911804
6,12,6,12,-0.07200002670288086
6,13,6,13,-0.096000075340271
6,14,6,14,-0.10800004005432129
6,15,6,15,-0.13199996948242188
7,8,7,8,0.011999845504760742
7,9,7,9,-0.012000083923339844
7,10,7,10,-0.03600001335144043
7,11,7,11,-0.05999991297721863
7,12,7,12,-0.09599995613098145
7,13,7,13,-0.12000000476837158
7,14,7,14,-0.13199996948242188
7,15,7,15,-0.15599989891052246
8,9,8,9,-0.023999929428100586
8,10,8,10,-0.04799985885620117
8,11,8,11,-0.07199975848197937
8,12,8,12,-0.10799980163574219
8,13,8,13,-0.13199985027313232
8,14,8,14,-0.14399981498718262
8,15,8,15,-0.1679997444152832
9,10,9,10,-0.023999929428100586
9,11,9,11,-0.047999829053878784
9,12,9,12,-0.0839998722076416
9,13,9,13,-0.10799992084503174
9,14,9,14,-0.11999988555908203
9,15,9,15,-0.14399981498718262
10,11,10,11,-0.023999899625778198
10,12,10,12,-0.059999942779541016
10,13,10,13,-0.08399999141693115
10,14,10,14,-0.09599995613098145
10,15,10,15,-0.11999988555908203
11,12,11,12,-0.03600004315376282
11,13,11,13,-0.060000091791152954
11,14,11,14,-0.07200005650520325
11,15,11,15,-0.09599998593330383
12,13,12,13,-0.024000048637390137
12,14,12,14,-0.03600001335144043
12,15,12,15,-0.059999942779541016
13,14,13,14,-0.011999964714050293
13,15,13,15,-0.03599989414215088
14,15,14,15,-0.023999929428100586
