i,j,point_id_i,point_id_j,value
0,1,0,1,-0.2186667025089264
0,2,0,2,-0.4919999837875366
0,3,0,3,-0.6013333797454834
0,4,0,4,-0.54666668176651
0,5,0,5,-0.4373334050178528
0,6,0,6,-0.2733333706855774
0,7,0,7,-0.054666683077812195
0,8,0,8,-0.38266676664352417
0,9,0,9,-0.164000004529953
0,10,0,10,0.109333336353302
0,11,0,11,0.1640000343322754
0,12,0,12,0.218666672706604
0,13,0,13,0.054666668176651
0,14,0,14,-0.109333336353302
0,15,0,15,-0.3280000686645508
1,2,1,2,-0.27333328127861023
1,3,1,3,-0.382666677236557
1,4,1,4,-0.3279999792575836
1,5,1,5,-0.2186667025089264
1,6,1,6,-0.054666668176651
1,7,1,7,0.1640000194311142
1,8,1,8,-0.16400006413459778
1,9,1,9,0.05466669797897339
1,10,1,10,0.3280000388622284
1,11,1,11,0.3826667368412018
1,12,1,12,0.4373333752155304
1,13,1,13,0.2733333706855774
1,14,1,14,0.10933336615562439
1,15,1,15,-0.10933336615562439
2,3,2,3,-0.10933339595794678
2,4,2,4,-0.05466669797897339
2,5,2,5,0.05466657876968384
2,6,2,6,0.21866661310195923
2,7,2,7,0.43733328580856323
2,8,2,8,0.10933321714401245
2,9,2,9,0.3279999792575836
2,10,2,10,0.6013333201408386
2,11,2,11,0.656000018119812
2,12,2,12,0.7106666564941406
2,13,2,13,0.5466666221618652
2,14,2,14,0.3826666474342346
2,15,2,15,0.16399991512298584
3,4,3,4,0.05466669797897339
3,5,3,5,0.16399997472763062
3,6,3,6,0.328000009059906
3,7,3,7,0.54666668176651
3,8,3,8,0.21866661310195923
3,9,3,9,0.4373333752155304
3,10,3,10,0.7106667160987854
3,11,3,11,0.7653334140777588
3,12,3,12,0.8200000524520874
3,13,3,13,0.656000018119812
3,14,3,14,0.4920000433921814
3,15,3,15,0.2733333110809326
4,5,4,5,0.10933327674865723
4,6,4,6,0.2733333110809326
4,7,4,7,0.4919999837875366
4,8,4,8,0.16399991512298584
4,9,4,9,0.382666677236557
4,10,4,10,0.656000018119812
4,11,4,11,0.7106667160987854
4,12,4,12,0.765333354473114
4,13,4,13,0.6013333797454834
4,14,4,14,0.437333345413208
4,15,4,15,0.21866661310195923
5,6,5,6,0.1640000343322754
5,7,5,7,0.3826667070388794
5,8,5,8,0.05466663837432861
5,9,5,9,0.2733334004878998
5,10,5,10,0.5466667413711548
5,11,5,11,0.6013334393501282
5,12,5,12,0.6560000777244568
5,13,5,13,0.4920000731945038
5,14,5,14,0.3280000686645508
5,15,5,15,0.109333336353302
6,7,6,7,0.2186666876077652
6,8,6,8,-0.10933339595794678
6,9,6,9,0.10933336615562439
6,10,6,10,0.3826667070388794
6,11,6,11,0.4373334050178528
6,12,6,12,0.4920000433921814
6,13,6,13,0.3280000388622284
6,14,6,14,0.1640000343322754
6,15,6,15,-0.05466669797897339
7,8,7,8,-0.3280000686645508
7,9,7,9,-0.10933332145214081
7,10,7,10,0.1640000194311142
7,11,7,11,0.21866671741008759
7,12,7,12,0.2733333706855774
7,13,7,13,0.1093333512544632
7,14,7,14,-0.05466665327548981
7,15,7,15,-0.2733333706855774
8,9,8,9,0.21866676211357117
8,10,8,10,0.49200010299682617
8,11,8,11,0.5466668009757996
8,12,8,12,0.6013334393501282
8,13,8,13,0.43733343482017517
8,14,8,14,0.27333343029022217
8,15,8,15,0.05466669797897339
9,10,9,10,0.273333340883255
9,11,9,11,0.3280000388622284
9,12,9,12,0.382666677236557
9,13,9,13,0.218666672706604
9,14,9,14,0.054666668176651
9,15,9,15,-0.16400006413459778
10,11,10,11,0.05466669797897339
10,12,10,12,0.109333336353302
10,13,10,13,-0.054666668176651
10,14,10,14,-0.218666672706604
10,15,10,15,-0.4373334050178528
11,12,11,12,0.05466663837432861
11,13,11,13,-0.10933336615562439
11,14,11,14,-0.2733333706855774
11,15,11,15,-0.49200010299682617
12,13,12,13,-0.164000004529953
12,14,12,14,-0.328000009059906
12,15,12,15,-0.5466667413711548
13,14,13,14,-0.164000004529953
13,15,13,15,-0.3826667368412018
14,15,14,15,-0.21866673231124878
