i,j,point_id_i,point_id_j,value
0,1,0,1,-0.12706296145915985
0,2,0,2,-0.4482385516166687
0,3,0,3,-0.7863461971282959
0,4,0,4,-0.2784769535064697
0,5,0,5,0.2604963779449463
0,6,0,6,-0.07761049270629883
0,7,0,7,-0.3987874984741211
0,8,0,8,-0.525848388671875
0,9,0,9,-0.3987874984741211
0,10,0,10,-0.07761049270629883
0,11,0,11,0.2604963779449463
0,12,0,12,-0.2784769535064697
0,13,0,13,-0.7863461971282959
0,14,0,14,-0.4482385516166687
0,15,0,15,-0.12706296145915985
1,2,1,2,-0.32117557525634766
1,3,1,3,-0.6592831611633301
1,4,1,4,-0.1514143943786621
1,5,1,5,0.3875594139099121
1,6,1,6,0.04945230484008789
1,7,1,7,-0.27172374725341797
1,8,1,8,-0.3987874984741211
1,9,1,9,-0.27172374725341797
1,10,1,10,0.04945230484008789
1,11,1,11,0.3875594139099121
1,12,1,12,-0.1514143943786621
1,13,1,13,-0.6592831611633301
1,14,1,14,-0.32117557525634766
1,15,1,15,0.0
2,3,2,3,-0.33810746669769287
2,4,2,4,0.1697615385055542
2,5,2,5,0.7087347507476807
2,6,2,6,0.37062764167785645
2,7,2,7,0.04945230484008789
2,8,2,8,-0.07761049270629883
2,9,2,9,0.04945230484008789
2,10,2,10,0.37062764167785645
2,11,2,11,0.7087347507476807
2,12,2,12,0.1697615385055542
2,13,2,13,-0.33810746669769287
2,14,2,14,0.0
2,15,2,15,-0.32117557525634766
3,4,3,4,0.5078688263893127
3,5,3,5,1.046842336654663
3,6,3,6,0.7087345123291016
3,7,3,7,0.3875596523284912
3,8,3,8,0.2604966163635254
3,9,3,9,0.3875596523284912
3,10,3,10,0.7087345123291016
3,11,3,11,1.046842336654663
3,12,3,12,0.5078688263893127
3,13,3,13,0.0
3,14,3,14,-0.33810746669769287
3,15,3,15,-0.6592831611633301
4,5,4,5,0.5389736294746399
4,6,4,6,0.2008659839630127
4,7,4,7,-0.12030911445617676
4,8,4,8,-0.24737215042114258
4,9,4,9,-0.12030911445617676
4,10,4,10,0.2008659839630127
4,11,4,11,0.5389736294746399
4,12,4,12,0.0
4,13,4,13,0.5078688263893127
4,14,4,14,0.1697615385055542
4,15,4,15,-0.1514143943786621
5,6,5,6,-0.33810722827911377
5,7,5,7,-0.659282922744751
5,8,5,8,-0.7863459587097168
5,9,5,9,-0.659282922744751
5,10,5,10,-0.33810722827911377
5,11,5,11,0.0
5,12,5,12,0.5389736294746399
5,13,5,13,1.046842336654663
5,14,5,14,0.7087347507476807
5,15,5,15,0.3875594139099121
6,7,6,7,-0.32117557525634766
6,8,6,8,-0.4482385516166687
6,9,6,9,-0.32117557525634766
6,10,6,10,0.0
6,11,6,11,-0.33810722827911377
6,12,6,12,0.2008659839630127
6,13,6,13,0.7087345123291016
6,14,6,14,0.37062764167785645
6,15,6,15,0.04945230484008789
7,8,7,8,-0.12706296145915985
7,9,7,9,0.0
7,10,7,10,-0.32117557525634766
7,11,7,11,-0.659282922744751
7,12,7,12,-0.12030911445617676
7,13,7,13,0.3875596523284912
7,14,7,14,0.04945230484008789
7,15,7,15,-0.27172374725341797
8,9,8,9,-0.12706296145915985
8,10,8,10,-0.4482385516166687
8,11,8,11,-0.7863459587097168
8,12,8,12,-0.24737215042114258
8,13,8,13,0.2604966163635254
8,14,8,14,-0.07761049270629883
8,15,8,15,-0.3987874984741211
9,10,9,10,-0.32117557525634766
9,11,9,11,-0.659282922744751
9,12,9,12,-0.12030911445617676
9,13,9,13,0.3875596523284912
9,14,9,14,0.04945230484008789
9,15,9,15,-0.27172374725341797
10,11,10,11,-0.33810722827911377
10,12,10,12,0.2008659839630127
10,13,10,13,0.7087345123291016
10,14,10,14,0.37062764167785645
10,15,10,15,0.04945230484008789
11,12,11,12,0.5389736294746399
11,13,11,13,1.046842336654663
11,14,11,14,0.7087347507476807
11,15,11,15,0.3875594139099121
12,13,12,13,0.5078688263893127
12,14,12,14,0.1697615385055542
12,15,12,15,-0.1514143943786621
13,14,13,14,-0.33810746669769287
13,15,13,15,-0.6592831611633301
14,15,14,15,-0.32117557525634766
