i,j,point_id_i,point_id_j,value
0,1,0,1,0.39346614480018616
0,2,0,2,0.37821489572525024
0,3,0,3,0.3416660726070404
0,4,0,4,0.325209379196167
0,5,0,5,0.34166622161865234
0,6,0,6,0.37821489572525024
0,7,0,7,0.39346611499786377
0,8,0,8,0.009699666872620583
0,9,0,9,0.37406671047210693
0,10,0,10,0.35881561040878296
0,11,0,11,0.32226675748825073
0,12,0,12,0.30580997467041016
0,13,0,13,0.32226672768592834
0,14,0,14,0.35881561040878296
0,15,0,15,0.3740667402744293
1,2,1,2,-0.015251144766807556
1,3,1,3,-0.05180007219314575
1,4,1,4,-0.06825682520866394
1,5,1,5,-0.05180001258850098
1,6,1,6,-0.015251144766807556
1,7,1,7,2.980232949312267e-09
1,8,1,8,0.38376638293266296
1,9,1,9,0.7675327658653259
1,10,1,10,0.7522815465927124
1,11,1,11,0.7157328128814697
1,12,1,12,0.6992759704589844
1,13,1,13,0.7157328128814697
1,14,1,14,0.7522815465927124
1,15,1,15,0.7675328850746155
2,3,2,3,-0.03654894232749939
2,4,2,4,-0.053005680441856384
2,5,2,5,-0.03654885292053223
2,6,2,6,0.0
2,7,2,7,-0.01525115966796875
2,8,2,8,0.36851537227630615
2,9,2,9,0.7522815465927124
2,10,2,10,0.7370307445526123
2,11,2,11,0.7004817128181458
2,12,2,12,0.6840250492095947
2,13,2,13,0.700481653213501
2,14,2,14,0.7370307445526123
2,15,2,15,0.752281665802002
3,4,3,4,-0.016456741839647293
3,5,3,5,2.1457672971791908e-08
3,6,3,6,-0.03654894232749939
3,7,3,7,-0.05180007219314575
3,8,3,8,0.3319663107395172
3,9,3,9,0.7157328128814697
3,10,3,10,0.700481653213501
3,11,3,11,0.6639326810836792
3,12,3,12,0.6474759578704834
3,13,3,13,0.6639326214790344
3,14,3,14,0.700481653213501
3,15,3,15,0.7157328128814697
4,5,4,5,-0.016456816345453262
4,6,4,6,-0.053005680441856384
4,7,4,7,-0.06825685501098633
4,8,4,8,0.315509557723999
4,9,4,9,0.6992759704589844
4,10,4,10,0.6840250492095947
4,11,4,11,0.6474760174751282
4,12,4,12,0.6310189962387085
4,13,4,13,0.6474759578704834
4,14,4,14,0.6840250492095947
4,15,4,15,0.6992759704589844
5,6,5,6,-0.03654885292053223
5,7,5,7,-0.051800042390823364
5,8,5,8,0.3319663405418396
5,9,5,9,0.7157328724861145
5,10,5,10,0.7004817128181458
5,11,5,11,0.6639326810836792
5,12,5,12,0.6474760174751282
5,13,5,13,0.6639326810836792
5,14,5,14,0.7004817128181458
5,15,5,15,0.7157329320907593
6,7,6,7,-0.01525115966796875
6,8,6,8,0.36851537227630615
6,9,6,9,0.7522815465927124
6,10,6,10,0.7370307445526123
6,11,6,11,0.7004817128181458
6,12,6,12,0.6840250492095947
6,13,6,13,0.700481653213501
6,14,6,14,0.7370307445526123
6,15,6,15,0.752281665802002
7,8,7,8,0.38376641273498535
7,9,7,9,0.7675328254699707
7,10,7,10,0.7522815465927124
7,11,7,11,0.7157328724861145
7,12,7,12,0.6992759704589844
7,13,7,13,0.7157328128814697
7,14,7,14,0.7522815465927124
7,15,7,15,0.7675328850746155
8,9,8,9,0.3837663531303406
8,10,8,10,0.36851537227630615
8,11,8,11,0.3319663405418396
8,12,8,12,0.31550949811935425
8,13,8,13,0.3319663107395172
8,14,8,14,0.36851537227630615
8,15,8,15,0.38376644253730774
9,10,9,10,-0.015251070261001587
9,11,9,11,-0.051800042390823364
9,12,9,12,-0.06825679540634155
9,13,9,13,-0.05179998278617859
9,14,9,14,-0.015251070261001587
9,15,9,15,6.973743182925318e-08
10,11,10,11,-0.03654893487691879
10,12,10,12,-0.053005680441856384
10,13,10,13,-0.03654896467924118
10,14,10,14,0.0
10,15,10,15,-0.015251144766807556
11,12,11,12,-0.01645674929022789
11,13,11,13,2.3841870699925494e-09
11,14,11,14,-0.03654893487691879
11,15,11,15,-0.05180007219314575
12,13,12,13,-0.01645675301551819
12,14,12,14,-0.053005680441856384
12,15,12,15,-0.06825682520866394
13,14,13,14,-0.03654896467924118
13,15,13,15,-0.05180007219314575
14,15,14,15,-0.015251144766807556
