i,j,point_id_i,point_id_j,value
0,1,164,167,0.0010387690272182226
0,2,164,165,0.004017811268568039
0,3,164,92,0.004668489098548889
0,4,164,186,0.00614146888256073
0,5,164,57,0.005874365568161011
0,6,164,43,-0.0003554821014404297
0,7,164,106,-0.007319211959838867
0,8,164,182,-0.012689754366874695
0,9,164,83,-0.01585496962070465
0,10,164,18,-0.0169057697057724
0,11,164,200,-0.014369964599609375
0,12,164,201,-0.012740373611450195
0,13,164,194,-0.008930951356887817
0,14,164,204,-0.0039438605308532715
0,15,164,202,0.0012585967779159546
0,16,164,212,0.0052483826875686646
0,17,164,216,0.006694719195365906
0,18,164,206,0.004148188978433609
0,19,164,203,-0.004792451858520508
0,20,164,207,0.005157142877578735
0,21,164,205,-0.0038575083017349243
0,22,164,98,-0.0052840448915958405
0,23,164,97,-0.002143973484635353
0,24,164,393,0.00098208780400455
0,25,164,391,0.003957858309149742
0,26,164,322,0.004808805882930756
0,27,164,410,0.006610982120037079
0,28,164,287,0.006706357002258301
0,29,164,273,0.00044804811477661133
0,30,164,335,-0.006563350558280945
0,31,164,406,-0.012135356664657593
0,32,164,313,-0.015521511435508728
0,33,164,421,-0.013103663921356201
0,34,164,418,-0.009274721145629883
0,35,164,424,-0.004133448004722595
0,36,164,422,0.0012354552745819092
0,37,164,432,0.00567290186882019
0,38,164,436,0.00668826699256897
0,39,164,426,0.004095742478966713
0,40,164,423,-0.00427875854074955
0,41,164,427,0.004699677228927612
0,42,164,425,-0.0034849699586629868
0,43,164,327,-0.004929021000862122
0,44,164,326,-0.0018986556679010391
0,45,164,0,0.001164894551038742
0,46,164,37,-0.0007109902799129486
0,47,164,39,0.0029801875352859497
0,48,164,40,0.004855453968048096
0,49,164,185,0.004249833524227142
0,50,164,61,0.001133561134338379
0,51,164,146,-0.009131580591201782
0,52,164,91,-0.016110211610794067
0,53,164,181,-0.018536657094955444
0,54,164,84,-0.018161997199058533
0,55,164,17,-0.01773098111152649
0,56,164,11,0.005882978439331055
0,57,164,72,0.005562394857406616
0,58,164,73,0.006666094064712524
0,59,164,74,0.006274424493312836
0,60,164,184,0.0042015016078948975
0,61,164,77,-0.010640814900398254
0,62,164,90,-0.01826523244380951
0,63,164,180,-0.022483646869659424
