i,j,point_id_i,point_id_j,value
0,1,164,167,-0.00010675111116142944
0,2,164,165,-0.00019525583775248379
0,3,164,92,0.0011546798050403595
0,4,164,186,0.0005827705026604235
0,5,164,57,0.00042970918002538383
0,6,164,43,-5.0234495574841276e-05
0,7,164,106,0.00022944311785977334
0,8,164,182,-3.3890890335896984e-05
0,9,164,83,0.00026427762350067496
0,10,164,18,-4.5872391638113186e-05
0,11,164,200,4.377900768304244e-05
0,12,164,201,0.00016827737272251397
0,13,164,194,-7.718982669757679e-05
0,14,164,204,0.00017225735064130276
0,15,164,202,-3.4549605061329203e-06
0,16,164,212,-7.974352774908766e-05
0,17,164,216,1.6883361240616068e-05
0,18,164,206,-0.00012818147661164403
0,19,164,203,-0.00012993923155590892
0,20,164,207,-9.397026587976143e-05
0,21,164,205,0.0006348296883516014
0,22,164,98,5.5773157328076195e-06
0,23,164,97,0.0004898925544694066
0,24,164,393,9.298762961407192e-06
0,25,164,391,-0.00018674219609238207
0,26,164,322,-6.35409596725367e-05
0,27,164,410,-0.00013440087786875665
0,28,164,287,-7.358051516348496e-05
0,29,164,273,-0.00017247696814592928
0,30,164,335,0.00010013630526373163
0,31,164,406,-8.86340785655193e-05
0,32,164,313,0.0002594261895865202
0,33,164,421,-2.0047966245329008e-05
0,34,164,418,0.0001965986011782661
0,35,164,424,-0.00017295381985604763
0,36,164,422,0.00023169493942987174
0,37,164,432,3.137075691483915e-05
0,38,164,436,3.716138598974794e-05
0,39,164,426,0.00013010909606236964
0,40,164,423,-8.956042438512668e-05
0,41,164,427,0.00012142699415562674
0,42,164,425,-1.0805300007632468e-05
0,43,164,327,0.0003238091303501278
0,44,164,326,0.00022261455887928605
0,45,164,0,0.00020604462770279497
0,46,164,37,0.0001068218844011426
0,47,164,39,3.1822530672798166e-06
0,48,164,40,0.00026718113804236054
0,49,164,185,-0.00019102002261206508
0,50,164,61,-0.0001821200712583959
0,51,164,146,5.859059820068069e-05
0,52,164,91,0.00011251551768509671
0,53,164,181,-1.937528941198252e-05
0,54,164,84,-0.00011893164628418162
0,55,164,17,-0.0035302184987813234
0,56,164,11,0.00016425801732111722
0,57,164,72,0.00015376579540316015
0,58,164,73,2.3876735212979838e-05
0,59,164,74,0.0002928882313426584
0,60,164,184,-8.726269152248278e-05
0,61,164,77,-2.2364289179677144e-05
0,62,164,90,0.00023857825726736337
0,63,164,180,0.0003583013894967735
0,64,164,85,-0.0003930729581043124
0,65,164,16,-0.004036660771816969
0,66,164,12,0.00015693616296630353
0,67,164,38,0.00028324374579824507
0,68,164,41,-2.8565360480570234e-05
