i,j,point_id_i,point_id_j,value
4,147,54,1,-0.002716958522796631
4,146,54,4,-0.002703428268432617
4,154,54,44,-0.0026946663856506348
4,153,54,45,-0.0026865005493164062
4,174,54,274,-0.002663522958755493
4,173,54,275,-0.0026244819164276123
4,160,54,220,-0.0025750398635864258
4,145,54,5,-0.002571970224380493
4,152,54,51,-0.002552419900894165
4,172,54,281,-0.002505064010620117
4,180,54,440,-0.002482384443283081
4,159,54,134,-0.0024787187576293945
4,232,54,326,-0.002456486225128174
4,301,54,415,-0.00244903564453125
4,274,54,267,-0.002446085214614868
4,294,54,325,-0.0024443864822387695
4,287,54,307,-0.0024410486221313477
4,212,54,393,-0.0024378299713134766
4,164,54,115,-0.002427041530609131
4,302,54,308,-0.002425074577331543
4,144,54,195,-0.0024161040782928467
4,293,54,272,-0.0024031996726989746
4,300,54,310,-0.002400517463684082
4,279,54,375,-0.0023914575576782227
4,283,54,302,-0.0023873746395111084
4,163,54,131,-0.0023835599422454834
4,278,54,291,-0.0023793578147888184
4,292,54,271,-0.002375006675720215
4,286,54,408,-0.0023692846298217773
147,268,1,78,-0.0023687630891799927
4,151,54,3,-0.0023681819438934326
4,303,54,324,-0.0023659467697143555
147,238,1,61,-0.002364635467529297
147,314,1,147,-0.0023602545261383057
4,299,54,311,-0.002359926700592041
146,268,4,78,-0.0023551881313323975
4,291,54,268,-0.0023547708988189697
4,288,54,320,-0.0023516416549682617
146,238,4,61,-0.002351045608520508
9,147,68,1,-0.0023486316204071045
135,147,475,1,0.00234849750995636
4,179,54,363,-0.0023471415042877197
146,314,4,147,-0.0023466646671295166
154,268,44,78,-0.002346426248550415
154,238,44,61,-0.0023422837257385254
4,285,54,304,-0.002339661121368408
153,268,45,78,-0.0023382902145385742
154,314,44,147,-0.002337902784347534
4,188,54,164,-0.0023378729820251465
9,146,68,4,-0.0023350417613983154
135,146,475,4,0.0023349225521087646
4,284,54,303,-0.0023348331451416016
153,238,45,61,-0.0023341476917266846
4,295,54,319,-0.00233381986618042
153,314,45,147,-0.0023297667503356934
4,167,54,48,-0.0023296475410461426
9,154,68,44,-0.0023263096809387207
3,147,103,1,-0.00232619047164917
135,154,475,44,0.00232619047164917
4,304,54,318,-0.0023215413093566895
9,153,68,45,-0.002318143844604492
135,153,475,45,0.0023180246353149414
4,171,54,248,-0.0023159384727478027
174,268,274,78,-0.0023152530193328857
4,280,54,321,-0.0023134946823120117
3,146,103,4,-0.002312570810317993
174,238,274,61,-0.002311110496520996
4,298,54,312,-0.002307802438735962
147,249,1,77,-0.0023069828748703003
174,314,274,147,-0.002306699752807617
4,277,54,409,-0.0023044347763061523
3,154,103,44,-0.0023038387298583984
4,184,54,344,-0.002302825450897217
147,239,1,146,-0.002300441265106201
3,153,103,45,-0.0022957026958465576
9,174,68,274,-0.0022951066493988037
135,174,475,274,0.002294987440109253
4,166,54,49,-0.0022943317890167236
4,158,54,236,-0.002294003963470459
146,249,4,77,-0.0022933781147003174
147,258,1,96,-0.0022880882024765015
146,239,4,146,-0.0022868812084198
154,249,44,77,-0.0022846460342407227
154,239,44,146,-0.0022781193256378174
153,249,45,77,-0.002276510000228882
173,268,275,78,-0.0022762268781661987
136,147,476,1,0.0022761672735214233
146,258,4,96,-0.0022745281457901
3,174,103,274,-0.002272665500640869
4,275,54,269,-0.002272486686706543
173,238,275,61,-0.002272084355354309
153,239,45,146,-0.0022699832916259766
173,314,275,147,-0.0022677481174468994
154,258,44,96,-0.0022657662630081177
4,276,54,270,-0.002264678478240967
136,146,476,4,0.0022625774145126343
4,211,54,97,-0.0022607147693634033
153,258,45,96,-0.002257630228996277
9,173,68,275,-0.002256035804748535
135,173,475,275,0.002255961298942566
136,154,476,44,0.0022538602352142334
174,249,274,77,-0.002253487706184387
4,233,54,0,-0.002252548933029175
4,143,54,197,-0.002250492572784424
147,269,1,95,-0.0022499263286590576
174,239,274,146,-0.002246946096420288
13,147,284,1,0.0022458136081695557
136,153,476,45,0.0022457093000411987
147,267,1,191,-0.0022397488355636597
4,296,54,403,-0.0022376179695129395
146,269,4,95,-0.0022363662719726562
174,258,274,96,-0.0022345930337905884
3,173,103,275,-0.0022336244583129883
13,146,284,4,0.0022322237491607666
154,269,44,95,-0.002227604389190674
147,312,1,116,-0.0022275447845458984
160,268,220,78,-0.0022267699241638184
146,267,4,191,-0.0022261589765548706
4,305,54,402,-0.002225160598754883
4,162,54,198,-0.002224475145339966
145,268,5,78,-0.0022237151861190796
13,154,284,44,0.002223491668701172
136,174,476,274,0.0022226721048355103
160,238,220,61,-0.0022226274013519287
145,238,5,61,-0.002219557762145996
153,269,45,95,-0.00221947580575943
4,289,54,404,-0.0022182464599609375
160,314,220,147,-0.0022182464599609375
154,267,44,191,-0.002217411994934082
13,153,284,45,0.002215355634689331
145,314,5,147,-0.0022152066230773926
173,249,275,77,-0.0022144317626953125
146,312,4,116,-0.002213984727859497
139,147,473,1,0.002213314175605774
4,244,54,11,-0.002210170030593872
153,267,45,191,-0.002209283411502838
173,239,275,146,-0.002207919955253601
9,160,68,220,-0.0022066235542297363
135,160,475,220,0.0022065341472625732
154,312,44,116,-0.00220528244972229
152,268,51,78,-0.002204224467277527
9,145,68,5,-0.0022035539150238037
135,145,475,5,0.0022034645080566406
4,213,54,391,-0.0022028684616088867
4,150,54,196,-0.0022013187408447266
22,147,70,1,-0.0022012293338775635
152,238,51,61,-0.0022000670433044434
139,146,473,4,0.0021997392177581787
147,313,1,123,-0.0021992623805999756
153,312,45,116,-0.002197176218032837
174,269,274,95,-0.0021964460611343384
152,314,51,147,-0.002195686101913452
173,258,275,96,-0.0021955519914627075
13,174,284,274,0.002192288637161255
139,154,473,44,0.0021909773349761963
22,146,70,4,-0.0021877288818359375
174,267,274,191,-0.0021862387657165527
146,313,4,123,-0.0021856725215911865
3,160,103,220,-0.0021841824054718018
9,152,68,51,-0.002184063196182251
135,152,475,51,0.002183973789215088
136,173,476,275,0.0021836161613464355
139,153,473,45,0.0021828413009643555
4,178,54,456,-0.0021820366382598877
3,145,103,5,-0.0021810829639434814
22,154,70,44,-0.002178966999053955
154,313,44,123,-0.002176940441131592
174,312,274,116,-0.0021741390228271484
138,147,474,1,0.0021727681159973145
22,153,70,45,-0.0021708011627197266
106,147,161,1,-0.0021706819534301758
153,313,45,123,-0.002168804407119751
160,249,220,77,-0.002164989709854126
145,249,5,77,-0.002161934971809387
3,152,103,51,-0.0021615922451019287
4,281,54,405,-0.0021606087684631348
139,174,473,274,0.002159819006919861
138,146,474,4,0.002159208059310913
160,239,220,146,-0.0021584704518318176
173,269,275,95,-0.0021574050188064575
106,146,161,4,-0.0021571218967437744
172,268,281,78,-0.0021568238735198975
145,239,5,146,-0.0021554231643676758
4,214,54,322,-0.0021547675132751465
13,173,284,275,0.0021532177925109863
172,238,281,61,-0.002152681350708008
4,254,54,12,-0.002152353525161743
138,154,474,44,0.0021504461765289307
106,154,161,44,-0.002148360013961792
172,314,281,147,-0.002148240804672241
4,165,54,209,-0.0021482110023498535
22,174,70,274,-0.002147763967514038
4,183,54,360,-0.0021475553512573242
4,170,54,419,-0.0021473467350006104
173,267,275,191,-0.002147197723388672
160,258,220,96,-0.002146109938621521
174,313,274,123,-0.0021457672119140625
145,258,5,96,-0.0021430402994155884
152,249,51,77,-0.0021424144506454468
138,153,474,45,0.00214231014251709
106,153,161,45,-0.0021402090787887573
9,172,68,281,-0.002136707305908203
135,172,475,281,0.0021365731954574585
105,147,160,1,-0.00213623046875
152,239,51,146,-0.0021359026432037354
173,312,275,116,-0.002135038375854492
136,160,476,220,0.002134174108505249
180,268,440,78,-0.0021341443061828613
136,145,476,5,0.0021311193704605103
159,268,134,78,-0.0021304935216903687
