i,j,point_id_i,point_id_j,value
0,1,164,167,-0.004087716341018677
0,2,164,165,-0.008152872323989868
0,3,164,92,-0.012048929929733276
0,4,164,186,-0.014893099665641785
0,5,164,57,-0.016194656491279602
0,6,164,43,-0.016512557864189148
0,7,164,106,-0.016297921538352966
0,8,164,182,-0.014756083488464355
0,9,164,83,-0.010490361601114273
0,10,164,18,0.0030967863276600838
0,11,164,200,0.0027409137692302465
0,12,164,201,-0.008774183690547943
0,13,164,194,-0.011944115161895752
0,14,164,204,-0.012271389365196228
0,15,164,202,-0.011426284909248352
0,16,164,212,-0.011206328868865967
0,17,164,216,-0.01072433590888977
0,18,164,206,-0.008163616061210632
0,19,164,203,-0.0055198222398757935
0,20,164,207,-0.009289801120758057
0,21,164,205,-0.008328288793563843
0,22,164,98,-0.003962099552154541
0,23,164,97,-0.0020511560142040253
0,24,164,393,-0.005970966070890427
0,25,164,391,-0.011103257536888123
0,26,164,322,-0.014614492654800415
0,27,164,410,-0.016720280051231384
0,28,164,287,-0.017350032925605774
0,29,164,273,-0.015642330050468445
0,30,164,335,-0.014312788844108582
0,31,164,406,-0.010764092206954956
0,32,164,313,-0.0043654367327690125
0,33,164,421,-0.0033934935927391052
0,34,164,418,-0.009088337421417236
0,35,164,424,-0.010993793606758118
0,36,164,422,-0.011405602097511292
0,37,164,432,-0.012890547513961792
0,38,164,436,-0.014104723930358887
0,39,164,426,-0.01264624297618866
0,40,164,423,-0.010520532727241516
0,41,164,427,-0.013923078775405884
0,42,164,425,-0.013941675424575806
0,43,164,327,-0.008467704057693481
0,44,164,326,-0.006700992584228516
0,45,164,0,0.004675525706261396
0,46,164,37,-0.012783385813236237
0,47,164,39,-0.018174171447753906
0,48,164,40,-0.022388115525245667
0,49,164,185,-0.025899484753608704
0,50,164,61,-0.028161242604255676
0,51,164,146,-0.028664737939834595
0,52,164,91,-0.02672416716814041
0,53,164,181,-0.022699818015098572
0,54,164,84,-0.017042718827724457
0,55,164,17,0.006816363427788019
0,56,164,11,0.00522382277995348
0,57,164,72,-0.013405129313468933
0,58,164,73,-0.018825151026248932
0,59,164,74,-0.022551923990249634
0,60,164,184,-0.025910481810569763
0,61,164,77,-0.02789480984210968
0,62,164,90,-0.02577049285173416
0,63,164,180,-0.022469714283943176
0,64,164,85,-0.017196927219629288
0,65,164,16,0.008091777563095093
0,66,164,12,0.00549581041559577
0,67,164,38,-0.013809245079755783
0,68,164,41,-0.01898275315761566
0,69,164,42,-0.022248677909374237
0,70,164,96,-0.026158839464187622
0,71,164,89,-0.02398543804883957
0,72,164,179,-0.02142244577407837
0,73,164,86,-0.016843609511852264
0,74,164,15,0.006461438722908497
0,75,164,13,0.005616507027298212
0,76,164,82,-0.013495981693267822
0,77,164,81,-0.018278539180755615
0,78,164,80,-0.020865008234977722
0,79,164,191,-0.02487950026988983
0,80,164,78,-0.025395914912223816
0,81,164,95,-0.023390501737594604
0,82,164,88,-0.022878073155879974
0,83,164,178,-0.020570702850818634
0,84,164,87,-0.01601165533065796
0,85,164,14,0.005989978089928627
0,86,164,267,-0.003932394087314606
0,87,164,269,-0.01085817813873291
0,88,164,270,-0.017042502760887146
0,89,164,409,-0.02239912748336792
0,90,164,291,-0.025777369737625122
0,91,164,375,-0.022718802094459534
0,92,164,321,-0.01707427203655243
0,93,164,405,-0.009599708020687103
0,94,164,314,-0.0013458244502544403
0,95,164,302,-0.003946863114833832
0,96,164,303,-0.011284172534942627
0,97,164,304,-0.01700688898563385
0,98,164,408,-0.02226690948009491
0,99,164,307,-0.021956980228424072
0,100,164,320,-0.016312986612319946
0,101,164,404,-0.009302705526351929
0,102,164,315,-0.0011258609592914581
0,103,164,268,-0.004111640155315399
0,104,164,271,-0.01141059398651123
0,105,164,272,-0.016700491309165955
0,106,164,325,-0.020454496145248413
0,107,164,319,-0.014926813542842865
0,108,164,403,-0.008823573589324951
0,109,164,316,-0.0013554021716117859
0,110,164,312,-0.003820139914751053
0,111,164,311,-0.01053636521100998
0,112,164,310,-0.015548042953014374
0,113,164,415,-0.021550476551055908
0,114,164,308,-0.023012712597846985
0,115,164,324,-0.018511295318603516
0,116,164,318,-0.014707230031490326
0,117,164,402,-0.009251892566680908
0,118,164,317,-0.0021700523793697357
1,2,167,165,-0.004065178334712982
1,3,167,92,-0.007961221039295197
1,4,167,186,-0.01080535352230072
1,5,167,57,-0.012106925249099731
1,6,167,43,-0.012424841523170471
1,7,167,106,-0.012210197746753693
1,8,167,182,-0.010668359696865082
1,9,167,83,-0.004202994517982006
1,10,167,18,-8.605048060417175e-05
1,11,167,200,-0.0005295500159263611
1,12,167,201,-0.004686469212174416
1,13,167,194,-0.007856391370296478
1,14,167,204,-0.008183673024177551
1,15,167,202,-0.007338583469390869
1,16,167,212,-0.007118657231330872
1,17,167,216,-0.0066366493701934814
1,18,167,206,-0.004075899720191956
1,19,167,203,-0.001432083547115326
1,20,167,207,-0.005202054977416992
1,21,167,205,-0.0042406171560287476
1,22,167,98,0.00012562423944473267
1,23,167,97,-0.002036559861153364
1,24,167,393,-0.010058686137199402
1,25,167,391,-0.015191003680229187
1,26,167,322,-0.018702223896980286
1,27,167,410,-0.02080795168876648
1,28,167,287,-0.021437734365463257
1,29,167,273,-0.01973004639148712
1,30,167,335,-0.01840050518512726
1,31,167,406,-0.014851793646812439
1,32,167,313,-0.008453167974948883
1,33,167,421,-0.007481202483177185
1,34,167,418,-0.0131760835647583
1,35,167,424,-0.0150814950466156
